date,solar,wind_off,wind_on,consumption,spot_prices,imb_volume
2022-02-17 00:00:00,0,6240.89,12105.11,28613.0,116.896,163.689
2022-02-17 00:15:00,0,6240.89,12105.11,28613.0,116.896,163.689
2022-02-17 00:30:00,0,6350.158,12201.842,27761.0,55.214,241.165
2022-02-17 00:45:00,0,6350.158,12201.842,27761.0,55.214,241.165
2022-02-17 01:00:00,0,6097.581,12622.419,27463.0,20.361,266.982
2022-02-17 01:15:00,0,6097.581,12622.419,27463.0,20.361,266.982
2022-02-17 01:30:00,0,6232.705,12670.295,28030.0,65.874,38.612
2022-02-17 01:45:00,0,6232.705,12670.295,28030.0,65.874,38.612
2022-02-17 02:00:00,0,6377.493,12234.507,27665.0,64.676,-216.05
2022-02-17 02:15:00,0,6377.493,12234.507,27665.0,64.676,-216.05
2022-02-17 02:30:00,0,6366.295,11976.705,26951.0,7.186,-379.29
2022-02-17 02:45:00,0,6366.295,11976.705,26951.0,7.186,-379.29
2022-02-17 03:00:00,0,6398.917,12417.083,26248.0,29.943,7.76
2022-02-17 03:15:00,0,6398.917,12417.083,26248.0,29.943,7.76
2022-02-17 03:30:00,0,6574.408,12557.592,25861.0,0.479,-145.959
2022-02-17 03:45:00,0,6574.408,12557.592,25861.0,0.479,-145.959
2022-02-17 04:00:00,0,6630.344,12546.656,25521.0,16.768,36.576
2022-02-17 04:15:00,0,6630.344,12546.656,25521.0,16.768,36.576
2022-02-17 04:30:00,0,6647.955,12652.045,25141.0,5.15,84.264
2022-02-17 04:45:00,0,6647.955,12652.045,25141.0,5.15,84.264
2022-02-17 05:00:00,0,6677.404,12562.596,24841.0,28.745,257.523
2022-02-17 05:15:00,0,6677.404,12562.596,24841.0,28.745,257.523
2022-02-17 05:30:00,0,6677.974,12401.026,25177.0,39.405,224.636
2022-02-17 05:45:00,0,6677.974,12401.026,25177.0,39.405,224.636
2022-02-17 06:00:00,0,6787.205,12275.795,25908.0,59.885,-87.208
2022-02-17 06:15:00,0,6787.205,12275.795,25908.0,59.885,-87.208
2022-02-17 06:30:00,1,6824.3,12160.7,26962.0,128.873,568.597
2022-02-17 06:45:00,1,6824.3,12160.7,26962.0,128.873,568.597
2022-02-17 07:00:00,1,6873.162,12137.838,29809.0,106.356,969.866
2022-02-17 07:15:00,1,6922.023,12088.977,29809.0,106.356,969.866
2022-02-17 07:30:00,0,6970.885,11938.115,31967.0,208.401,832.37
2022-02-17 07:45:00,0,6970.885,11938.115,31967.0,208.401,832.37
2022-02-17 08:00:00,8,6970.492,11913.508,34544.0,185.884,321.416
2022-02-17 08:15:00,8,6970.492,11913.508,34544.0,185.884,321.416
2022-02-17 08:30:00,258,6891.651,12075.349,36104.0,233.553,83.073
2022-02-17 08:45:00,258,6891.651,12075.349,36104.0,233.553,83.073
2022-02-17 09:00:00,1110,6863.134,12093.866,37954.0,183.608,-50.671
2022-02-17 09:15:00,1110,6863.134,12093.866,37954.0,183.608,-50.671
2022-02-17 09:30:00,1980,6923.263,12162.737,38655.0,185.644,-277.455
2022-02-17 09:45:00,1980,6923.263,12162.737,38655.0,185.644,-277.455
2022-02-17 10:00:00,2640,6937.965,12321.035,39384.0,200.975,-242.566
2022-02-17 10:15:00,2640,6952.668,12306.332,39384.0,200.975,-242.566
2022-02-17 10:30:00,3040,6967.37,12450.63,39547.0,168.278,-127.408
2022-02-17 10:45:00,3040,6967.37,12450.63,39547.0,168.278,-127.408
2022-02-17 11:00:00,3340,6971.376,12498.624,39379.0,164.086,-132.919
2022-02-17 11:15:00,3340,6971.376,12498.624,39379.0,164.086,-132.919
2022-02-17 11:30:00,4040,7027.17,12436.83,39846.0,158.097,-199.508
2022-02-17 11:45:00,4040,7027.17,12436.83,39846.0,158.097,-199.508
2022-02-17 12:00:00,4260,7024.227,12352.773,39912.0,154.863,21.413
2022-02-17 12:15:00,4260,7024.227,12352.773,39912.0,154.863,21.413
2022-02-17 12:30:00,4320,6930.262,12536.738,39835.0,152.348,-55.735
2022-02-17 12:45:00,4320,6930.262,12536.738,39835.0,152.348,-55.735
2022-02-17 13:00:00,4380,6968.539,12202.461,40012.0,152.228,-174.05
2022-02-17 13:15:00,4380,6968.539,12202.461,40012.0,152.228,-174.05
2022-02-17 13:30:00,4500,6810.664,11982.336,40166.0,153.306,-40.142
