Data from Wattsight.com
Updated:,2022-03-14T16:57:17.73
Descriptive name:,Generated from WAPI Query
Update frequency:,none
Data Frequency:,MIN30,Timezone:,CET
Comment:
Date,pri uk spot epex €/mwh cet min30 a
2022-02-17T00:00:00,116.896
2022-02-17T00:30:00,55.214
2022-02-17T01:00:00,20.361
2022-02-17T01:30:00,65.874
2022-02-17T02:00:00,64.676
2022-02-17T02:30:00,7.186
2022-02-17T03:00:00,29.943
2022-02-17T03:30:00,0.479
2022-02-17T04:00:00,16.768
2022-02-17T04:30:00,5.15
2022-02-17T05:00:00,28.745
2022-02-17T05:30:00,39.405
2022-02-17T06:00:00,59.885
2022-02-17T06:30:00,128.873
2022-02-17T07:00:00,106.356
2022-02-17T07:30:00,208.401
2022-02-17T08:00:00,185.884
2022-02-17T08:30:00,233.553
2022-02-17T09:00:00,183.608
2022-02-17T09:30:00,185.644
2022-02-17T10:00:00,200.975
2022-02-17T10:30:00,168.278
2022-02-17T11:00:00,164.086
2022-02-17T11:30:00,158.097
2022-02-17T12:00:00,154.863
2022-02-17T12:30:00,152.348
2022-02-17T13:00:00,152.228
2022-02-17T13:30:00,153.306
2022-02-17T14:00:00,146.12
2022-02-17T14:30:00,141.329
2022-02-17T15:00:00,155.462
2022-02-17T15:30:00,155.223
2022-02-17T16:00:00,166.481
2022-02-17T16:30:00,166.481
2022-02-17T17:00:00,164.086
2022-02-17T17:30:00,188.998
2022-02-17T18:00:00,190.435
2022-02-17T18:30:00,233.553
2022-02-17T19:00:00,235.11
2022-02-17T19:30:00,231.876
2022-02-17T20:00:00,234.511
2022-02-17T20:30:00,203.61
2022-02-17T21:00:00,227.564
2022-02-17T21:30:00,177.26
2022-02-17T22:00:00,185.764
2022-02-17T22:30:00,173.428
2022-02-17T23:00:00,189.237
2022-02-17T23:30:00,173.667
2022-02-18T00:00:00,209.769
2022-02-18T00:30:00,182.559
2022-02-18T01:00:00,178.124
2022-02-18T01:30:00,226.311
2022-02-18T02:00:00,230.147
2022-02-18T02:30:00,203.776
2022-02-18T03:00:00,203.776
2022-02-18T03:30:00,182.919
2022-02-18T04:00:00,189.392
2022-02-18T04:30:00,138.927
2022-02-18T05:00:00,141.924
2022-02-18T05:30:00,93.497
2022-02-18T06:00:00,132.454
2022-02-18T06:30:00,179.682
2022-02-18T07:00:00,154.63
2022-02-18T07:30:00,219.359
2022-02-18T08:00:00,188.193
2022-02-18T08:30:00,227.749
2022-02-18T09:00:00,186.395
2022-02-18T09:30:00,184.597
2022-02-18T10:00:00,189.871
2022-02-18T10:30:00,178.843
2022-02-18T11:00:00,184.597
2022-02-18T11:30:00,181.241
2022-02-18T12:00:00,191.669
2022-02-18T12:30:00,203.776
2022-02-18T13:00:00,213.365
2022-02-18T13:30:00,182.319
2022-02-18T14:00:00,186.695
2022-02-18T14:30:00,174.168
2022-02-18T15:00:00,173.809
2022-02-18T15:30:00,175.127
2022-02-18T16:00:00,170.333
2022-02-18T16:30:00,181.66
2022-02-18T17:00:00,194.186
2022-02-18T17:30:00,237.339
2022-02-18T18:00:00,224.393
2022-02-18T18:30:00,251.364
2022-02-18T19:00:00,239.736
2022-02-18T19:30:00,210.728
2022-02-18T20:00:00,210.968
2022-02-18T20:30:00,173.329
2022-02-18T21:00:00,190.71
2022-02-18T21:30:00,160.623
2022-02-18T22:00:00,215.763
2022-02-18T22:30:00,139.047
2022-02-18T23:00:00,185.796
2022-02-18T23:30:00,143.842
2022-02-19T00:00:00,191.789
2022-02-19T00:30:00,138.927
2022-02-19T01:00:00,131.855
2022-02-19T01:30:00,175.007
2022-02-19T02:00:00,165.418
2022-02-19T02:30:00,131.855
2022-02-19T03:00:00,131.855
2022-02-19T03:30:00,118.909
2022-02-19T04:00:00,131.855
2022-02-19T04:30:00,120.228
2022-02-19T05:00:00,125.022
2022-02-19T05:30:00,125.502
2022-02-19T06:00:00,120.228
2022-02-19T06:30:00,146.239
2022-02-19T07:00:00,139.047
2022-02-19T07:30:00,173.809
2022-02-19T08:00:00,168.055
2022-02-19T08:30:00,167.576
2022-02-19T09:00:00,154.63
2022-02-19T09:30:00,172.61
2022-02-19T10:00:00,188.433
2022-02-19T10:30:00,195.145
2022-02-19T11:00:00,214.804
2022-02-19T11:30:00,209.769
2022-02-19T12:00:00,205.814
2022-02-19T12:30:00,205.694
2022-02-19T13:00:00,214.804
2022-02-19T13:30:00,221.756
2022-02-19T14:00:00,221.756
2022-02-19T14:30:00,211.088
2022-02-19T15:00:00,224.873
2022-02-19T15:30:00,209.769
2022-02-19T16:00:00,179.562
2022-02-19T16:30:00,179.802
2022-02-19T17:00:00,179.802
2022-02-19T17:30:00,245.73
2022-02-19T18:00:00,221.516
2022-02-19T18:30:00,260.114
2022-02-19T19:00:00,251.244
2022-02-19T19:30:00,229.667
2022-02-19T20:00:00,239.736
2022-02-19T20:30:00,173.929
2022-02-19T21:00:00,170.093
2022-02-19T21:30:00,183.578
2022-02-19T22:00:00,197.782
2022-02-19T22:30:00,189.392
2022-02-19T23:00:00,173.03
2022-02-19T23:30:00,161.822
2022-02-20T00:00:00,159.664
2022-02-20T00:30:00,119.868
2022-02-20T01:00:00,119.868
2022-02-20T01:30:00,134.252
2022-02-20T02:00:00,167.815
2022-02-20T02:30:00,95.895
2022-02-20T03:00:00,116.991
2022-02-20T03:30:00,83.908
2022-02-20T04:00:00,105.963
2022-02-20T04:30:00,63.53
2022-02-20T05:00:00,83.908
2022-02-20T05:30:00,59.934
2022-02-20T06:00:00,57.657
2022-02-20T06:30:00,84.747
2022-02-20T07:00:00,63.53
2022-02-20T07:30:00,92.298
2022-02-20T08:00:00,73.719
2022-02-20T08:30:00,95.895
2022-02-20T09:00:00,78.034
2022-02-20T09:30:00,113.875
2022-02-20T10:00:00,67.126
2022-02-20T10:30:00,121.067
2022-02-20T11:00:00,150.794
2022-02-20T11:30:00,172.251
2022-02-20T12:00:00,173.09
2022-02-20T12:30:00,180.881
2022-02-20T13:00:00,192.988
2022-02-20T13:30:00,189.871
2022-02-20T14:00:00,203.776
2022-02-20T14:30:00,198.861
2022-02-20T15:00:00,212.167
2022-02-20T15:30:00,212.167
2022-02-20T16:00:00,181.001
2022-02-20T16:30:00,206.173
2022-02-20T17:00:00,179.802
2022-02-20T17:30:00,240.935
2022-02-20T18:00:00,230.147
2022-02-20T18:30:00,267.066
2022-02-20T19:00:00,266.107
2022-02-20T19:30:00,240.515
2022-02-20T20:00:00,239.736
2022-02-20T20:30:00,208.571
2022-02-20T21:00:00,186.515
2022-02-20T21:30:00,156.308
2022-02-20T22:00:00,194.186
2022-02-20T22:30:00,88.702
2022-02-20T23:00:00,149.895
2022-02-20T23:30:00,41.954
2022-02-21T00:00:00,164.47
2022-02-21T00:30:00,69.63
2022-02-21T01:00:00,84.036
2022-02-21T01:30:00,141.18
2022-02-21T02:00:00,110.447
2022-02-21T02:30:00,84.036
2022-02-21T03:00:00,76.833
2022-02-21T03:30:00,61.346
2022-02-21T04:00:00,85.236
2022-02-21T04:30:00,36.015
2022-02-21T05:00:00,69.63
2022-02-21T05:30:00,60.025
2022-02-21T06:00:00,77.673
2022-02-21T06:30:00,148.023
2022-02-21T07:00:00,159.668
2022-02-21T07:30:00,202.886
2022-02-21T08:00:00,132.056
2022-02-21T08:30:00,219.093
2022-02-21T09:00:00,198.564
2022-02-21T09:30:00,240.102
2022-02-21T10:00:00,231.338
2022-02-21T10:30:00,212.61
2022-02-21T11:00:00,213.691
2022-02-21T11:30:00,180.076
2022-02-21T12:00:00,180.076
2022-02-21T12:30:00,168.071
2022-02-21T13:00:00,186.079
2022-02-21T13:30:00,170.472
2022-02-21T14:00:00,182.237
2022-02-21T14:30:00,160.868
2022-02-21T15:00:00,168.071
2022-02-21T15:30:00,180.076
2022-02-21T16:00:00,165.67
2022-02-21T16:30:00,180.076
2022-02-21T17:00:00,171.673
2022-02-21T17:30:00,214.531
2022-02-21T18:00:00,216.092
2022-02-21T18:30:00,270.835
2022-02-21T19:00:00,330.14
2022-02-21T19:30:00,308.771
2022-02-21T20:00:00,299.527
2022-02-21T20:30:00,247.305
2022-02-21T21:00:00,262.911
2022-02-21T21:30:00,204.087
2022-02-21T22:00:00,253.548
2022-02-21T22:30:00,204.087
2022-02-21T23:00:00,204.087
2022-02-21T23:30:00,181.277
2022-02-22T00:00:00,221.067
2022-02-22T00:30:00,185.218
