Data from Wattsight.com
Updated:,2022-03-27T13:40:27.273
Descriptive name:,Generated from WAPI Query
Update frequency:,none
Data Frequency:,H,Timezone:,CET
Comment:
Date,con uk mwh/h cet min15 a
2021-03-24T00:00:00,26394.5
2021-03-24T01:00:00,25969.5
2021-03-24T02:00:00,25736.5
2021-03-24T03:00:00,24982
2021-03-24T04:00:00,24204
2021-03-24T05:00:00,24100
2021-03-24T06:00:00,25452
2021-03-24T07:00:00,29712
2021-03-24T08:00:00,34789
2021-03-24T09:00:00,37227
2021-03-24T10:00:00,38508.5
2021-03-24T11:00:00,38119.5
2021-03-24T12:00:00,37656
2021-03-24T13:00:00,37817
2021-03-24T14:00:00,37174
2021-03-24T15:00:00,35798.5
2021-03-24T16:00:00,35463.5
2021-03-24T17:00:00,36936
2021-03-24T18:00:00,38196
2021-03-24T19:00:00,39253
2021-03-24T20:00:00,38673
2021-03-24T21:00:00,35719
2021-03-24T22:00:00,32647.5
2021-03-24T23:00:00,29194
2021-03-25T00:00:00,26563.5
2021-03-25T01:00:00,25893
2021-03-25T02:00:00,25504.5
2021-03-25T03:00:00,24643.5
2021-03-25T04:00:00,24095
2021-03-25T05:00:00,23823
2021-03-25T06:00:00,25078
2021-03-25T07:00:00,29219.5
2021-03-25T08:00:00,33823
2021-03-25T09:00:00,36135
2021-03-25T10:00:00,36811
2021-03-25T11:00:00,36823.5
2021-03-25T12:00:00,36579
2021-03-25T13:00:00,36404
2021-03-25T14:00:00,36053
2021-03-25T15:00:00,35534.5
2021-03-25T16:00:00,34614.5
2021-03-25T17:00:00,36165.5
2021-03-25T18:00:00,37311
2021-03-25T19:00:00,38449
2021-03-25T20:00:00,37800.5
2021-03-25T21:00:00,34855.5
2021-03-25T22:00:00,31692.5
2021-03-25T23:00:00,28062.5
2021-03-26T00:00:00,25257
2021-03-26T01:00:00,24958.5
2021-03-26T02:00:00,24622.5
2021-03-26T03:00:00,23586
2021-03-26T04:00:00,22926.5
2021-03-26T05:00:00,22557.5
2021-03-26T06:00:00,23642.5
2021-03-26T07:00:00,27511
2021-03-26T08:00:00,32525.5
2021-03-26T09:00:00,34968.5
2021-03-26T10:00:00,36517
2021-03-26T11:00:00,37270.5
2021-03-26T12:00:00,37200
2021-03-26T13:00:00,37658.5
2021-03-26T14:00:00,36751
2021-03-26T15:00:00,35666.5
2021-03-26T16:00:00,34720.5
2021-03-26T17:00:00,35780.5
2021-03-26T18:00:00,37249.5
2021-03-26T19:00:00,38166.5
2021-03-26T20:00:00,37431.5
2021-03-26T21:00:00,35421.5
2021-03-26T22:00:00,32057
2021-03-26T23:00:00,29048
2021-03-27T00:00:00,26561
2021-03-27T01:00:00,25754.5
2021-03-27T02:00:00,25122
2021-03-27T03:00:00,24273.5
2021-03-27T04:00:00,23404.5
2021-03-27T05:00:00,23232.5
2021-03-27T06:00:00,23662
2021-03-27T07:00:00,25784.5
2021-03-27T08:00:00,28718.5
2021-03-27T09:00:00,31114.5
2021-03-27T10:00:00,32816.5
2021-03-27T11:00:00,33246.5
2021-03-27T12:00:00,33559
2021-03-27T13:00:00,33423
2021-03-27T14:00:00,32492
2021-03-27T15:00:00,31578
2021-03-27T16:00:00,31727.5
2021-03-27T17:00:00,32823
2021-03-27T18:00:00,35124.5
2021-03-27T19:00:00,36511.5
2021-03-27T20:00:00,35840
2021-03-27T21:00:00,32815.5
2021-03-27T22:00:00,29973
2021-03-27T23:00:00,27259
2021-03-28T00:00:00,24998.5
2021-03-28T01:00:00,24479.5
2021-03-28T03:00:00,23941
2021-03-28T04:00:00,23022
2021-03-28T05:00:00,22181.5
2021-03-28T06:00:00,21983.5
2021-03-28T07:00:00,22599
2021-03-28T08:00:00,23760
2021-03-28T09:00:00,26016.5
2021-03-28T10:00:00,28743
2021-03-28T11:00:00,31059.5
2021-03-28T12:00:00,32684
2021-03-28T13:00:00,34074
2021-03-28T14:00:00,33366
2021-03-28T15:00:00,32866.5
2021-03-28T16:00:00,32728.5
2021-03-28T17:00:00,33913.5
2021-03-28T18:00:00,35484.5
2021-03-28T19:00:00,35577.5
2021-03-28T20:00:00,35257.5
2021-03-28T21:00:00,34172.5
2021-03-28T22:00:00,31175.5
2021-03-28T23:00:00,28267.5
2021-03-29T00:00:00,24985.5
2021-03-29T01:00:00,23034.5
2021-03-29T02:00:00,23359.5
2021-03-29T03:00:00,23342.5
2021-03-29T04:00:00,22767
2021-03-29T05:00:00,22704
2021-03-29T06:00:00,23764.5
2021-03-29T07:00:00,27348.5
2021-03-29T08:00:00,32143.5
2021-03-29T09:00:00,35203.5
2021-03-29T10:00:00,36522.5
2021-03-29T11:00:00,36862.5
2021-03-29T12:00:00,36235
2021-03-29T13:00:00,36311.5
2021-03-29T14:00:00,35474
2021-03-29T15:00:00,34238
2021-03-29T16:00:00,33495.5
2021-03-29T17:00:00,34071.5
2021-03-29T18:00:00,35020
2021-03-29T19:00:00,34680.5
2021-03-29T20:00:00,34806.5
2021-03-29T21:00:00,34923.5
2021-03-29T22:00:00,32215
2021-03-29T23:00:00,28906
2021-03-30T00:00:00,25747.5
2021-03-30T01:00:00,23982
2021-03-30T02:00:00,24071
2021-03-30T03:00:00,24256
2021-03-30T04:00:00,23963
2021-03-30T05:00:00,23972
2021-03-30T06:00:00,25191
2021-03-30T07:00:00,28956
2021-03-30T08:00:00,33585.5
2021-03-30T09:00:00,36519
2021-03-30T10:00:00,36899.5
2021-03-30T11:00:00,35851.5
2021-03-30T12:00:00,35622.5
2021-03-30T13:00:00,35562.5
2021-03-30T14:00:00,34550
2021-03-30T15:00:00,33708.5
2021-03-30T16:00:00,32866.5
2021-03-30T17:00:00,33127.5
2021-03-30T18:00:00,33780
2021-03-30T19:00:00,33460.5
2021-03-30T20:00:00,33997.5
2021-03-30T21:00:00,33846.5
2021-03-30T22:00:00,31379
2021-03-30T23:00:00,28059.5
2021-03-31T00:00:00,24707.5
2021-03-31T01:00:00,22718
2021-03-31T02:00:00,22812
2021-03-31T03:00:00,22730
2021-03-31T04:00:00,22258
2021-03-31T05:00:00,22142
2021-03-31T06:00:00,23454.5
2021-03-31T07:00:00,26891.5
2021-03-31T08:00:00,31314.5
2021-03-31T09:00:00,33379
2021-03-31T10:00:00,34232
2021-03-31T11:00:00,34575
2021-03-31T12:00:00,34286.5
2021-03-31T13:00:00,34165.5
2021-03-31T14:00:00,33612
2021-03-31T15:00:00,32991
2021-03-31T16:00:00,32616
2021-03-31T17:00:00,33377
2021-03-31T18:00:00,34085
2021-03-31T19:00:00,34142.5
2021-03-31T20:00:00,33856.5
2021-03-31T21:00:00,33543
2021-03-31T22:00:00,30373.5
2021-03-31T23:00:00,26860
2021-04-01T00:00:00,23448
2021-04-01T01:00:00,21760
2021-04-01T02:00:00,22494.5
2021-04-01T03:00:00,22293.5
2021-04-01T04:00:00,21646
2021-04-01T05:00:00,21425.5
2021-04-01T06:00:00,22576.5
2021-04-01T07:00:00,26180
2021-04-01T08:00:00,30790
2021-04-01T09:00:00,33238.5
2021-04-01T10:00:00,34805.5
2021-04-01T11:00:00,35068
2021-04-01T12:00:00,35166
2021-04-01T13:00:00,35649
2021-04-01T14:00:00,34950.5
2021-04-01T15:00:00,33969.5
2021-04-01T16:00:00,33454.5
2021-04-01T17:00:00,33982
2021-04-01T18:00:00,34647.5
2021-04-01T19:00:00,34524.5
2021-04-01T20:00:00,34241
2021-04-01T21:00:00,34179.5
2021-04-01T22:00:00,31992
2021-04-01T23:00:00,28810
2021-04-02T00:00:00,25845
2021-04-02T01:00:00,24128.5
2021-04-02T02:00:00,24051.5
2021-04-02T03:00:00,23994
2021-04-02T04:00:00,23243.5
2021-04-02T05:00:00,22849.5
2021-04-02T06:00:00,23383.5
2021-04-02T07:00:00,25274.5
2021-04-02T08:00:00,27777.5
2021-04-02T09:00:00,30334
2021-04-02T10:00:00,32152.5
2021-04-02T11:00:00,33194
2021-04-02T12:00:00,33413.5
2021-04-02T13:00:00,33376.5
2021-04-02T14:00:00,32263.5
2021-04-02T15:00:00,31216
2021-04-02T16:00:00,29869
2021-04-02T17:00:00,30646.5
2021-04-02T18:00:00,32730.5
2021-04-02T19:00:00,33233
2021-04-02T20:00:00,32766
2021-04-02T21:00:00,33033.5
2021-04-02T22:00:00,30918
2021-04-02T23:00:00,28215.5
2021-04-03T00:00:00,24931.5
2021-04-03T01:00:00,22961.5
