Data from Wattsight.com
Updated:,2022-03-15T08:40:29.239
Descriptive name:,Generated from WAPI Query
Update frequency:,none
Data Frequency:,MIN15,Timezone:,CET
Comment:
Date,con uk mwh/h cet min15 a
2022-02-17T00:00:00,28613
2022-02-17T00:15:00,28613
2022-02-17T00:30:00,27761
2022-02-17T00:45:00,27761
2022-02-17T01:00:00,27463
2022-02-17T01:15:00,27463
2022-02-17T01:30:00,28030
2022-02-17T01:45:00,28030
2022-02-17T02:00:00,27665
2022-02-17T02:15:00,27665
2022-02-17T02:30:00,26951
2022-02-17T02:45:00,26951
2022-02-17T03:00:00,26248
2022-02-17T03:15:00,26248
2022-02-17T03:30:00,25861
2022-02-17T03:45:00,25861
2022-02-17T04:00:00,25521
2022-02-17T04:15:00,25521
2022-02-17T04:30:00,25141
2022-02-17T04:45:00,25141
2022-02-17T05:00:00,24841
2022-02-17T05:15:00,24841
2022-02-17T05:30:00,25177
2022-02-17T05:45:00,25177
2022-02-17T06:00:00,25908
2022-02-17T06:15:00,25908
2022-02-17T06:30:00,26962
2022-02-17T06:45:00,26962
2022-02-17T07:00:00,29809
2022-02-17T07:15:00,29809
2022-02-17T07:30:00,31967
2022-02-17T07:45:00,31967
2022-02-17T08:00:00,34544
2022-02-17T08:15:00,34544
2022-02-17T08:30:00,36104
2022-02-17T08:45:00,36104
2022-02-17T09:00:00,37954
2022-02-17T09:15:00,37954
2022-02-17T09:30:00,38655
2022-02-17T09:45:00,38655
2022-02-17T10:00:00,39384
2022-02-17T10:15:00,39384
2022-02-17T10:30:00,39547
2022-02-17T10:45:00,39547
2022-02-17T11:00:00,39379
2022-02-17T11:15:00,39379
2022-02-17T11:30:00,39846
2022-02-17T11:45:00,39846
2022-02-17T12:00:00,39912
2022-02-17T12:15:00,39912
2022-02-17T12:30:00,39835
2022-02-17T12:45:00,39835
2022-02-17T13:00:00,40012
2022-02-17T13:15:00,40012
2022-02-17T13:30:00,40166
2022-02-17T13:45:00,40166
2022-02-17T14:00:00,39389
2022-02-17T14:15:00,39389
2022-02-17T14:30:00,38986
2022-02-17T14:45:00,38986
2022-02-17T15:00:00,38801
2022-02-17T15:15:00,38801
2022-02-17T15:30:00,38694
2022-02-17T15:45:00,38694
2022-02-17T16:00:00,38868
2022-02-17T16:15:00,38868
2022-02-17T16:30:00,39110
2022-02-17T16:45:00,39110
2022-02-17T17:00:00,39610
2022-02-17T17:15:00,39610
2022-02-17T17:30:00,40289
2022-02-17T17:45:00,40289
2022-02-17T18:00:00,41075
2022-02-17T18:15:00,41075
2022-02-17T18:30:00,42770
2022-02-17T18:45:00,42770
2022-02-17T19:00:00,42693
2022-02-17T19:15:00,42693
2022-02-17T19:30:00,42601
2022-02-17T19:45:00,42601
2022-02-17T20:00:00,41809
2022-02-17T20:15:00,41809
2022-02-17T20:30:00,40688
2022-02-17T20:45:00,40688
2022-02-17T21:00:00,39300
2022-02-17T21:15:00,39300
2022-02-17T21:30:00,37768
2022-02-17T21:45:00,37768
2022-02-17T22:00:00,36009
2022-02-17T22:15:00,36009
2022-02-17T22:30:00,34403
2022-02-17T22:45:00,34403
2022-02-17T23:00:00,32591
2022-02-17T23:15:00,32591
2022-02-17T23:30:00,30611
2022-02-17T23:45:00,30611
2022-02-18T00:00:00,28880
2022-02-18T00:15:00,28880
2022-02-18T00:30:00,27389
2022-02-18T00:45:00,27389
2022-02-18T01:00:00,26981
2022-02-18T01:15:00,26981
2022-02-18T01:30:00,27589
2022-02-18T01:45:00,27589
2022-02-18T02:00:00,27129
2022-02-18T02:15:00,27129
2022-02-18T02:30:00,26624
2022-02-18T02:45:00,26624
2022-02-18T03:00:00,26184
2022-02-18T03:15:00,26184
2022-02-18T03:30:00,25778
2022-02-18T03:45:00,25778
2022-02-18T04:00:00,25444
2022-02-18T04:15:00,25444
2022-02-18T04:30:00,25065
2022-02-18T04:45:00,25065
2022-02-18T05:00:00,24739
2022-02-18T05:15:00,24739
2022-02-18T05:30:00,24732
2022-02-18T05:45:00,24732
2022-02-18T06:00:00,25437
2022-02-18T06:15:00,25437
2022-02-18T06:30:00,26216
2022-02-18T06:45:00,26216
2022-02-18T07:00:00,28755
2022-02-18T07:15:00,28755
2022-02-18T07:30:00,30714
2022-02-18T07:45:00,30714
2022-02-18T08:00:00,33208
2022-02-18T08:15:00,33208
2022-02-18T08:30:00,34646
2022-02-18T08:45:00,34646
2022-02-18T09:00:00,36520
2022-02-18T09:15:00,36520
2022-02-18T09:30:00,37943
2022-02-18T09:45:00,37943
2022-02-18T10:00:00,39288
2022-02-18T10:15:00,39288
2022-02-18T10:30:00,40195
2022-02-18T10:45:00,40195
2022-02-18T11:00:00,40493
2022-02-18T11:15:00,40493
2022-02-18T11:30:00,40646
2022-02-18T11:45:00,40646
2022-02-18T12:00:00,40830
2022-02-18T12:15:00,40830
2022-02-18T12:30:00,41314
2022-02-18T12:45:00,41314
2022-02-18T13:00:00,41929
2022-02-18T13:15:00,41929
2022-02-18T13:30:00,41906
2022-02-18T13:45:00,41906
2022-02-18T14:00:00,41503
2022-02-18T14:15:00,41503
2022-02-18T14:30:00,41016
2022-02-18T14:45:00,41016
2022-02-18T15:00:00,40736
2022-02-18T15:15:00,40736
2022-02-18T15:30:00,40260
2022-02-18T15:45:00,40260
2022-02-18T16:00:00,39828
2022-02-18T16:15:00,39828
2022-02-18T16:30:00,39629
2022-02-18T16:45:00,39629
2022-02-18T17:00:00,39421
2022-02-18T17:15:00,39421
2022-02-18T17:30:00,39969
2022-02-18T17:45:00,39969
2022-02-18T18:00:00,41839
2022-02-18T18:15:00,41839
2022-02-18T18:30:00,42834
2022-02-18T18:45:00,42834
2022-02-18T19:00:00,42680
2022-02-18T19:15:00,42680
2022-02-18T19:30:00,41874
2022-02-18T19:45:00,41874
2022-02-18T20:00:00,40586
2022-02-18T20:15:00,40586
2022-02-18T20:30:00,39039
2022-02-18T20:45:00,39039
2022-02-18T21:00:00,38079
2022-02-18T21:15:00,38079
2022-02-18T21:30:00,36801
2022-02-18T21:45:00,36801
2022-02-18T22:00:00,35436
2022-02-18T22:15:00,35436
2022-02-18T22:30:00,33731
2022-02-18T22:45:00,33731
2022-02-18T23:00:00,31896
2022-02-18T23:15:00,31896
2022-02-18T23:30:00,30242
2022-02-18T23:45:00,30242
2022-02-19T00:00:00,28514
2022-02-19T00:15:00,28514
2022-02-19T00:30:00,27606
2022-02-19T00:45:00,27606
2022-02-19T01:00:00,27553
2022-02-19T01:15:00,27553
2022-02-19T01:30:00,28075
2022-02-19T01:45:00,28075
2022-02-19T02:00:00,27672
2022-02-19T02:15:00,27672
2022-02-19T02:30:00,26836
2022-02-19T02:45:00,26836
2022-02-19T03:00:00,26224
2022-02-19T03:15:00,26224
2022-02-19T03:30:00,25926
2022-02-19T03:45:00,25926
2022-02-19T04:00:00,25486
2022-02-19T04:15:00,25486
2022-02-19T04:30:00,25094
2022-02-19T04:45:00,25094
2022-02-19T05:00:00,24662
2022-02-19T05:15:00,24662
2022-02-19T05:30:00,24500
2022-02-19T05:45:00,24500
2022-02-19T06:00:00,24589
2022-02-19T06:15:00,24589
2022-02-19T06:30:00,25081
2022-02-19T06:45:00,25081
2022-02-19T07:00:00,26572
2022-02-19T07:15:00,26572
2022-02-19T07:30:00,27528
2022-02-19T07:45:00,27528
2022-02-19T08:00:00,28995
2022-02-19T08:15:00,28995
2022-02-19T08:30:00,30297
2022-02-19T08:45:00,30297
2022-02-19T09:00:00,32037
2022-02-19T09:15:00,32037
2022-02-19T09:30:00,33889
2022-02-19T09:45:00,33889
2022-02-19T10:00:00,34984
2022-02-19T10:15:00,34984
2022-02-19T10:30:00,35834
2022-02-19T10:45:00,35834
2022-02-19T11:00:00,36723
2022-02-19T11:15:00,36723
2022-02-19T11:30:00,37007
2022-02-19T11:45:00,37007
2022-02-19T12:00:00,37469
2022-02-19T12:15:00,37469
2022-02-19T12:30:00,37845
2022-02-19T12:45:00,37845
2022-02-19T13:00:00,38274
2022-02-19T13:15:00,38274
2022-02-19T13:30:00,38489
2022-02-19T13:45:00,38489
2022-02-19T14:00:00,38146
2022-02-19T14:15:00,38146
2022-02-19T14:30:00,37694
2022-02-19T14:45:00,37694
2022-02-19T15:00:00,37182
2022-02-19T15:15:00,37182
2022-02-19T15:30:00,36582
2022-02-19T15:45:00,36582
2022-02-19T16:00:00,36212
2022-02-19T16:15:00,36212
