Data from Wattsight.com
Updated:,2022-03-18T13:31:15.271
Descriptive name:,Generated from WAPI Query
Update frequency:,none
Data Frequency:,MIN15,Timezone:,CET
Comment:
Date,pri uk imb £/mwh cet min15 a-buy
2022-02-17T00:00:00,184.9
2022-02-17T00:15:00,184.9
2022-02-17T00:30:00,185
2022-02-17T00:45:00,185
2022-02-17T01:00:00,185
2022-02-17T01:15:00,185
2022-02-17T01:30:00,169
2022-02-17T01:45:00,169
2022-02-17T02:00:00,3.25
2022-02-17T02:15:00,3.25
2022-02-17T02:30:00,1.67
2022-02-17T02:45:00,1.67
2022-02-17T03:00:00,181
2022-02-17T03:15:00,181
2022-02-17T03:30:00,4.2
2022-02-17T03:45:00,4.2
2022-02-17T04:00:00,182
2022-02-17T04:15:00,182
2022-02-17T04:30:00,182
2022-02-17T04:45:00,182
2022-02-17T05:00:00,187
2022-02-17T05:15:00,187
2022-02-17T05:30:00,185
2022-02-17T05:45:00,185
2022-02-17T06:00:00,103.14
2022-02-17T06:15:00,103.14
2022-02-17T06:30:00,187
2022-02-17T06:45:00,187
2022-02-17T07:00:00,192.9
2022-02-17T07:15:00,192.9
2022-02-17T07:30:00,189.98
2022-02-17T07:45:00,189.98
2022-02-17T08:00:00,179
2022-02-17T08:15:00,179
2022-02-17T08:30:00,179
2022-02-17T08:45:00,179
2022-02-17T09:00:00,100
2022-02-17T09:15:00,100
2022-02-17T09:30:00,20
2022-02-17T09:45:00,20
2022-02-17T10:00:00,20
2022-02-17T10:15:00,20
2022-02-17T10:30:00,20.483
2022-02-17T10:45:00,20.483
2022-02-17T11:00:00,20
2022-02-17T11:15:00,20
2022-02-17T11:30:00,20
2022-02-17T11:45:00,20
2022-02-17T12:00:00,179
2022-02-17T12:15:00,179
2022-02-17T12:30:00,21
2022-02-17T12:45:00,21
2022-02-17T13:00:00,21
2022-02-17T13:15:00,21
2022-02-17T13:30:00,21
2022-02-17T13:45:00,21
2022-02-17T14:00:00,184
2022-02-17T14:15:00,184
2022-02-17T14:30:00,184
2022-02-17T14:45:00,184
2022-02-17T15:00:00,184
2022-02-17T15:15:00,184
2022-02-17T15:30:00,185
2022-02-17T15:45:00,185
2022-02-17T16:00:00,179
2022-02-17T16:15:00,179
2022-02-17T16:30:00,190
2022-02-17T16:45:00,190
2022-02-17T17:00:00,205
2022-02-17T17:15:00,205
2022-02-17T17:30:00,208
2022-02-17T17:45:00,208
2022-02-17T18:00:00,208
2022-02-17T18:15:00,208
2022-02-17T18:30:00,208
2022-02-17T18:45:00,208
2022-02-17T19:00:00,219
2022-02-17T19:15:00,219
2022-02-17T19:30:00,219
2022-02-17T19:45:00,219
2022-02-17T20:00:00,205
2022-02-17T20:15:00,205
2022-02-17T20:30:00,226
2022-02-17T20:45:00,226
2022-02-17T21:00:00,227
2022-02-17T21:15:00,227
2022-02-17T21:30:00,187.5
2022-02-17T21:45:00,187.5
2022-02-17T22:00:00,219
2022-02-17T22:15:00,219
2022-02-17T22:30:00,219
2022-02-17T22:45:00,219
2022-02-17T23:00:00,198
2022-02-17T23:15:00,198
2022-02-17T23:30:00,188.5
2022-02-17T23:45:00,188.5
2022-02-18T00:00:00,55.1
2022-02-18T00:15:00,55.1
2022-02-18T00:30:00,185
2022-02-18T00:45:00,185
2022-02-18T01:00:00,220
2022-02-18T01:15:00,220
2022-02-18T01:30:00,201
2022-02-18T01:45:00,201
2022-02-18T02:00:00,195
2022-02-18T02:15:00,195
2022-02-18T02:30:00,168
2022-02-18T02:45:00,168
2022-02-18T03:00:00,61
2022-02-18T03:15:00,61
2022-02-18T03:30:00,52
2022-02-18T03:45:00,52
2022-02-18T04:00:00,61
2022-02-18T04:15:00,61
2022-02-18T04:30:00,5
2022-02-18T04:45:00,5
2022-02-18T05:00:00,50
2022-02-18T05:15:00,50
2022-02-18T05:30:00,5
2022-02-18T05:45:00,5
2022-02-18T06:00:00,55.1
2022-02-18T06:15:00,55.1
2022-02-18T06:30:00,55.1
2022-02-18T06:45:00,55.1
2022-02-18T07:00:00,20
2022-02-18T07:15:00,20
2022-02-18T07:30:00,21
2022-02-18T07:45:00,21
2022-02-18T08:00:00,50
2022-02-18T08:15:00,50
2022-02-18T08:30:00,55.1
2022-02-18T08:45:00,55.1
2022-02-18T09:00:00,55.1
2022-02-18T09:15:00,55.1
2022-02-18T09:30:00,70
2022-02-18T09:45:00,70
2022-02-18T10:00:00,70
2022-02-18T10:15:00,70
2022-02-18T10:30:00,179
2022-02-18T10:45:00,179
2022-02-18T11:00:00,179
2022-02-18T11:15:00,179
2022-02-18T11:30:00,178.5
2022-02-18T11:45:00,178.5
2022-02-18T12:00:00,179
2022-02-18T12:15:00,179
2022-02-18T12:30:00,192.5
2022-02-18T12:45:00,192.5
2022-02-18T13:00:00,75
2022-02-18T13:15:00,75
2022-02-18T13:30:00,192.5
2022-02-18T13:45:00,192.5
2022-02-18T14:00:00,195
2022-02-18T14:15:00,195
2022-02-18T14:30:00,195
2022-02-18T14:45:00,195
2022-02-18T15:00:00,221.5
2022-02-18T15:15:00,221.5
2022-02-18T15:30:00,240
2022-02-18T15:45:00,240
2022-02-18T16:00:00,233.69
2022-02-18T16:15:00,233.69
2022-02-18T16:30:00,234
2022-02-18T16:45:00,234
2022-02-18T17:00:00,219
2022-02-18T17:15:00,219
2022-02-18T17:30:00,221.5
2022-02-18T17:45:00,221.5
2022-02-18T18:00:00,245.95
2022-02-18T18:15:00,245.95
2022-02-18T18:30:00,234
2022-02-18T18:45:00,234
2022-02-18T19:00:00,234
2022-02-18T19:15:00,234
2022-02-18T19:30:00,218
2022-02-18T19:45:00,218
2022-02-18T20:00:00,221.5
2022-02-18T20:15:00,221.5
2022-02-18T20:30:00,221.5
2022-02-18T20:45:00,221.5
2022-02-18T21:00:00,221.5
2022-02-18T21:15:00,221.5
2022-02-18T21:30:00,200
2022-02-18T21:45:00,200
2022-02-18T22:00:00,225
2022-02-18T22:15:00,225
2022-02-18T22:30:00,200
2022-02-18T22:45:00,200
2022-02-18T23:00:00,194
2022-02-18T23:15:00,194
2022-02-18T23:30:00,194
2022-02-18T23:45:00,194
2022-02-19T00:00:00,77.3
2022-02-19T00:15:00,77.3
2022-02-19T00:30:00,77.3
2022-02-19T00:45:00,77.3
2022-02-19T01:00:00,200
2022-02-19T01:15:00,200
2022-02-19T01:30:00,84
2022-02-19T01:45:00,84
2022-02-19T02:00:00,71.29
2022-02-19T02:15:00,71.29
2022-02-19T02:30:00,71.29
2022-02-19T02:45:00,71.29
2022-02-19T03:00:00,67
2022-02-19T03:15:00,67
2022-02-19T03:30:00,67
2022-02-19T03:45:00,67
2022-02-19T04:00:00,204
2022-02-19T04:15:00,204
2022-02-19T04:30:00,204
2022-02-19T04:45:00,204
2022-02-19T05:00:00,204
2022-02-19T05:15:00,204
2022-02-19T05:30:00,205
2022-02-19T05:45:00,205
2022-02-19T06:00:00,204
2022-02-19T06:15:00,204
2022-02-19T06:30:00,130
2022-02-19T06:45:00,130
2022-02-19T07:00:00,130
2022-02-19T07:15:00,130
2022-02-19T07:30:00,130
2022-02-19T07:45:00,130
2022-02-19T08:00:00,135
2022-02-19T08:15:00,135
2022-02-19T08:30:00,220
2022-02-19T08:45:00,220
2022-02-19T09:00:00,220
2022-02-19T09:15:00,220
2022-02-19T09:30:00,234.9
2022-02-19T09:45:00,234.9
2022-02-19T10:00:00,234.9
2022-02-19T10:15:00,234.9
2022-02-19T10:30:00,235
2022-02-19T10:45:00,235
2022-02-19T11:00:00,241.75
2022-02-19T11:15:00,241.75
2022-02-19T11:30:00,245
2022-02-19T11:45:00,245
2022-02-19T12:00:00,245
2022-02-19T12:15:00,245
2022-02-19T12:30:00,244
2022-02-19T12:45:00,244
2022-02-19T13:00:00,230
2022-02-19T13:15:00,230
2022-02-19T13:30:00,82
2022-02-19T13:45:00,82
2022-02-19T14:00:00,82
2022-02-19T14:15:00,82
2022-02-19T14:30:00,230
2022-02-19T14:45:00,230
2022-02-19T15:00:00,225
2022-02-19T15:15:00,225
2022-02-19T15:30:00,230
2022-02-19T15:45:00,230
2022-02-19T16:00:00,230
2022-02-19T16:15:00,230
2022-02-19T16:30:00,243.95
2022-02-19T16:45:00,243.95
2022-02-19T17:00:00,230
2022-02-19T17:15:00,230
2022-02-19T17:30:00,260
2022-02-19T17:45:00,260
2022-02-19T18:00:00,434
2022-02-19T18:15:00,434
