Data from Wattsight.com
Updated:,2022-03-25T17:01:52.035
Descriptive name:,Generated from WAPI Query
Update frequency:,none
Data Frequency:,MIN15,Timezone:,CET
Comment:
Date,vol uk imb mw cet min15 a-net
2021-01-01T00:00:00,843.693
2021-01-01T00:15:00,843.693
2021-01-01T00:30:00,934.582
2021-01-01T00:45:00,934.582
2021-01-01T01:00:00,604.733
2021-01-01T01:15:00,604.733
2021-01-01T01:30:00,307.339
2021-01-01T01:45:00,307.339
2021-01-01T02:00:00,48.885
2021-01-01T02:15:00,48.885
2021-01-01T02:30:00,-48.884
2021-01-01T02:45:00,-48.884
2021-01-01T03:00:00,55.109
2021-01-01T03:15:00,55.109
2021-01-01T03:30:00,119.006
2021-01-01T03:45:00,119.006
2021-01-01T04:00:00,74.644
2021-01-01T04:15:00,74.644
2021-01-01T04:30:00,-66.192
2021-01-01T04:45:00,-66.192
2021-01-01T05:00:00,-43.252
2021-01-01T05:15:00,-43.252
2021-01-01T05:30:00,-74.251
2021-01-01T05:45:00,-74.251
2021-01-01T06:00:00,-4.396
2021-01-01T06:15:00,-4.396
2021-01-01T06:30:00,-79.578
2021-01-01T06:45:00,-79.578
2021-01-01T07:00:00,-417.971
2021-01-01T07:15:00,-417.971
2021-01-01T07:30:00,-437.563
2021-01-01T07:45:00,-437.563
2021-01-01T08:00:00,-338.685
2021-01-01T08:15:00,-338.685
2021-01-01T08:30:00,-171.348
2021-01-01T08:45:00,-171.348
2021-01-01T09:00:00,33.925
2021-01-01T09:15:00,33.925
2021-01-01T09:30:00,-109.38
2021-01-01T09:45:00,-109.38
2021-01-01T10:00:00,-156.895
2021-01-01T10:15:00,-156.895
2021-01-01T10:30:00,-246.332
2021-01-01T10:45:00,-246.332
2021-01-01T11:00:00,120.902
2021-01-01T11:15:00,120.902
2021-01-01T11:30:00,174.121
2021-01-01T11:45:00,174.121
2021-01-01T12:00:00,228.438
2021-01-01T12:15:00,228.438
2021-01-01T12:30:00,20.845
2021-01-01T12:45:00,20.845
2021-01-01T13:00:00,186.53
2021-01-01T13:15:00,186.53
2021-01-01T13:30:00,472.054
2021-01-01T13:45:00,472.054
2021-01-01T14:00:00,398.115
2021-01-01T14:15:00,398.115
2021-01-01T14:30:00,296.764
2021-01-01T14:45:00,296.764
2021-01-01T15:00:00,190.807
2021-01-01T15:15:00,190.807
2021-01-01T15:30:00,242.483
2021-01-01T15:45:00,242.483
2021-01-01T16:00:00,91.976
2021-01-01T16:15:00,91.976
2021-01-01T16:30:00,663.398
2021-01-01T16:45:00,663.398
2021-01-01T17:00:00,1019.14
2021-01-01T17:15:00,1019.14
2021-01-01T17:30:00,922.168
2021-01-01T17:45:00,922.168
2021-01-01T18:00:00,662.274
2021-01-01T18:15:00,662.274
2021-01-01T18:30:00,385.717
2021-01-01T18:45:00,385.717
2021-01-01T19:00:00,585.731
2021-01-01T19:15:00,585.731
2021-01-01T19:30:00,299.717
2021-01-01T19:45:00,299.717
2021-01-01T20:00:00,183.847
2021-01-01T20:15:00,183.847
2021-01-01T20:30:00,135.255
2021-01-01T20:45:00,135.255
2021-01-01T21:00:00,271.931
2021-01-01T21:15:00,271.931
2021-01-01T21:30:00,-7.184
2021-01-01T21:45:00,-7.184
2021-01-01T22:00:00,-90.242
2021-01-01T22:15:00,-90.242
2021-01-01T22:30:00,94.567
2021-01-01T22:45:00,94.567
2021-01-01T23:00:00,-312.231
2021-01-01T23:15:00,-312.231
2021-01-01T23:30:00,-83.049
2021-01-01T23:45:00,-83.049
2021-01-02T00:00:00,-42.416
2021-01-02T00:15:00,-42.416
2021-01-02T00:30:00,158.792
2021-01-02T00:45:00,158.792
2021-01-02T01:00:00,219.608
2021-01-02T01:15:00,219.608
2021-01-02T01:30:00,128.975
2021-01-02T01:45:00,128.975
2021-01-02T02:00:00,-133.935
2021-01-02T02:15:00,-133.935
2021-01-02T02:30:00,-271.33
2021-01-02T02:45:00,-271.33
2021-01-02T03:00:00,104.092
2021-01-02T03:15:00,104.092
2021-01-02T03:30:00,93.798
2021-01-02T03:45:00,93.798
2021-01-02T04:00:00,236.011
2021-01-02T04:15:00,236.011
2021-01-02T04:30:00,92.879
2021-01-02T04:45:00,92.879
2021-01-02T05:00:00,215.38
2021-01-02T05:15:00,215.38
2021-01-02T05:30:00,110.126
2021-01-02T05:45:00,110.126
2021-01-02T06:00:00,-93.291
2021-01-02T06:15:00,-93.291
2021-01-02T06:30:00,-32.959
2021-01-02T06:45:00,-32.959
2021-01-02T07:00:00,-83.244
2021-01-02T07:15:00,-83.244
2021-01-02T07:30:00,-276.915
2021-01-02T07:45:00,-276.915
2021-01-02T08:00:00,-303.087
2021-01-02T08:15:00,-303.087
2021-01-02T08:30:00,-129.043
2021-01-02T08:45:00,-129.043
2021-01-02T09:00:00,-191.283
2021-01-02T09:15:00,-191.283
2021-01-02T09:30:00,-237.026
2021-01-02T09:45:00,-237.026
2021-01-02T10:00:00,-212.067
2021-01-02T10:15:00,-212.067
2021-01-02T10:30:00,-14.198
2021-01-02T10:45:00,-14.198
2021-01-02T11:00:00,-60.905
2021-01-02T11:15:00,-60.905
2021-01-02T11:30:00,105.165
2021-01-02T11:45:00,105.165
2021-01-02T12:00:00,479.866
2021-01-02T12:15:00,479.866
2021-01-02T12:30:00,463.96
2021-01-02T12:45:00,463.96
2021-01-02T13:00:00,422.798
2021-01-02T13:15:00,422.798
2021-01-02T13:30:00,257.074
2021-01-02T13:45:00,257.074
2021-01-02T14:00:00,112.658
2021-01-02T14:15:00,112.658
2021-01-02T14:30:00,-173.653
2021-01-02T14:45:00,-173.653
2021-01-02T15:00:00,-25.997
2021-01-02T15:15:00,-25.997
2021-01-02T15:30:00,98.725
2021-01-02T15:45:00,98.725
2021-01-02T16:00:00,175.88
2021-01-02T16:15:00,175.88
2021-01-02T16:30:00,501.903
2021-01-02T16:45:00,501.903
2021-01-02T17:00:00,572.851
2021-01-02T17:15:00,572.851
2021-01-02T17:30:00,568.408
2021-01-02T17:45:00,568.408
2021-01-02T18:00:00,246.533
2021-01-02T18:15:00,246.533
2021-01-02T18:30:00,-9.435
2021-01-02T18:45:00,-9.435
2021-01-02T19:00:00,64.761
2021-01-02T19:15:00,64.761
2021-01-02T19:30:00,-388.313
2021-01-02T19:45:00,-388.313
2021-01-02T20:00:00,-224.186
2021-01-02T20:15:00,-224.186
2021-01-02T20:30:00,-202.145
2021-01-02T20:45:00,-202.145
2021-01-02T21:00:00,-10.611
2021-01-02T21:15:00,-10.611
2021-01-02T21:30:00,188.712
2021-01-02T21:45:00,188.712
2021-01-02T22:00:00,71.098
2021-01-02T22:15:00,71.098
2021-01-02T22:30:00,-111.708
2021-01-02T22:45:00,-111.708
2021-01-02T23:00:00,270.053
2021-01-02T23:15:00,270.053
2021-01-02T23:30:00,561.167
2021-01-02T23:45:00,561.167
2021-01-03T00:00:00,273.246
2021-01-03T00:15:00,273.246
2021-01-03T00:30:00,481.012
2021-01-03T00:45:00,481.012
2021-01-03T01:00:00,562.754
2021-01-03T01:15:00,562.754
2021-01-03T01:30:00,469.888
2021-01-03T01:45:00,469.888
2021-01-03T02:00:00,270.503
2021-01-03T02:15:00,270.503
2021-01-03T02:30:00,194.936
2021-01-03T02:45:00,194.936
2021-01-03T03:00:00,81.606
2021-01-03T03:15:00,81.606
2021-01-03T03:30:00,-182.995
2021-01-03T03:45:00,-182.995
2021-01-03T04:00:00,-238.673
2021-01-03T04:15:00,-238.673
2021-01-03T04:30:00,-303.869
2021-01-03T04:45:00,-303.869
2021-01-03T05:00:00,250.118
2021-01-03T05:15:00,250.118
2021-01-03T05:30:00,327.279
2021-01-03T05:45:00,327.279
2021-01-03T06:00:00,220.742
2021-01-03T06:15:00,220.742
2021-01-03T06:30:00,108.051
2021-01-03T06:45:00,108.051
2021-01-03T07:00:00,-159.619
2021-01-03T07:15:00,-159.619
2021-01-03T07:30:00,-265.176
2021-01-03T07:45:00,-265.176
2021-01-03T08:00:00,-215.243
2021-01-03T08:15:00,-215.243
2021-01-03T08:30:00,-167.898
2021-01-03T08:45:00,-167.898
2021-01-03T09:00:00,-734.436
2021-01-03T09:15:00,-734.436
2021-01-03T09:30:00,-158.358
2021-01-03T09:45:00,-158.358
2021-01-03T10:00:00,-356.232
2021-01-03T10:15:00,-356.232
2021-01-03T10:30:00,-144.689
2021-01-03T10:45:00,-144.689
