Data from Wattsight.com
Updated:,2022-03-15T09:01:53.826
Descriptive name:,Generated from WAPI Query
Update frequency:,none
Data Frequency:,MIN15,Timezone:,CET
Comment:
Date,vol uk imb mw cet min15 a-net
2022-02-17T00:00:00,163.689
2022-02-17T00:15:00,163.689
2022-02-17T00:30:00,241.165
2022-02-17T00:45:00,241.165
2022-02-17T01:00:00,266.982
2022-02-17T01:15:00,266.982
2022-02-17T01:30:00,38.612
2022-02-17T01:45:00,38.612
2022-02-17T02:00:00,-216.05
2022-02-17T02:15:00,-216.05
2022-02-17T02:30:00,-379.29
2022-02-17T02:45:00,-379.29
2022-02-17T03:00:00,7.76
2022-02-17T03:15:00,7.76
2022-02-17T03:30:00,-145.959
2022-02-17T03:45:00,-145.959
2022-02-17T04:00:00,36.576
2022-02-17T04:15:00,36.576
2022-02-17T04:30:00,84.264
2022-02-17T04:45:00,84.264
2022-02-17T05:00:00,257.523
2022-02-17T05:15:00,257.523
2022-02-17T05:30:00,224.636
2022-02-17T05:45:00,224.636
2022-02-17T06:00:00,-87.208
2022-02-17T06:15:00,-87.208
2022-02-17T06:30:00,568.597
2022-02-17T06:45:00,568.597
2022-02-17T07:00:00,969.866
2022-02-17T07:15:00,969.866
2022-02-17T07:30:00,832.37
2022-02-17T07:45:00,832.37
2022-02-17T08:00:00,321.416
2022-02-17T08:15:00,321.416
2022-02-17T08:30:00,83.073
2022-02-17T08:45:00,83.073
2022-02-17T09:00:00,-50.671
2022-02-17T09:15:00,-50.671
2022-02-17T09:30:00,-277.455
2022-02-17T09:45:00,-277.455
2022-02-17T10:00:00,-242.566
2022-02-17T10:15:00,-242.566
2022-02-17T10:30:00,-127.408
2022-02-17T10:45:00,-127.408
2022-02-17T11:00:00,-132.919
2022-02-17T11:15:00,-132.919
2022-02-17T11:30:00,-199.508
2022-02-17T11:45:00,-199.508
2022-02-17T12:00:00,21.413
2022-02-17T12:15:00,21.413
2022-02-17T12:30:00,-55.735
2022-02-17T12:45:00,-55.735
2022-02-17T13:00:00,-174.05
2022-02-17T13:15:00,-174.05
2022-02-17T13:30:00,-40.142
2022-02-17T13:45:00,-40.142
2022-02-17T14:00:00,487.903
2022-02-17T14:15:00,487.903
2022-02-17T14:30:00,640.161
2022-02-17T14:45:00,640.161
2022-02-17T15:00:00,384.315
2022-02-17T15:15:00,384.315
2022-02-17T15:30:00,311.687
2022-02-17T15:45:00,311.687
2022-02-17T16:00:00,95.508
2022-02-17T16:15:00,95.508
2022-02-17T16:30:00,418.192
2022-02-17T16:45:00,418.192
2022-02-17T17:00:00,749.101
2022-02-17T17:15:00,749.101
2022-02-17T17:30:00,887.822
2022-02-17T17:45:00,887.822
2022-02-17T18:00:00,576.827
2022-02-17T18:15:00,576.827
2022-02-17T18:30:00,580.621
2022-02-17T18:45:00,580.621
2022-02-17T19:00:00,683.901
2022-02-17T19:15:00,683.901
2022-02-17T19:30:00,787.806
2022-02-17T19:45:00,787.806
2022-02-17T20:00:00,583.305
2022-02-17T20:15:00,583.305
2022-02-17T20:30:00,638.167
2022-02-17T20:45:00,638.167
2022-02-17T21:00:00,701.306
2022-02-17T21:15:00,701.306
2022-02-17T21:30:00,106.364
2022-02-17T21:45:00,106.364
2022-02-17T22:00:00,253.579
2022-02-17T22:15:00,253.579
2022-02-17T22:30:00,346.633
2022-02-17T22:45:00,346.633
2022-02-17T23:00:00,594.906
2022-02-17T23:15:00,594.906
2022-02-17T23:30:00,422.205
2022-02-17T23:45:00,422.205
2022-02-18T00:00:00,-195.048
2022-02-18T00:15:00,-195.048
2022-02-18T00:30:00,112.794
2022-02-18T00:45:00,112.794
2022-02-18T01:00:00,539.879
2022-02-18T01:15:00,539.879
2022-02-18T01:30:00,667.31
2022-02-18T01:45:00,667.31
2022-02-18T02:00:00,481.649
2022-02-18T02:15:00,481.649
2022-02-18T02:30:00,65.221
2022-02-18T02:45:00,65.221
2022-02-18T03:00:00,-53.858
2022-02-18T03:15:00,-53.858
2022-02-18T03:30:00,-122.225
2022-02-18T03:45:00,-122.225
2022-02-18T04:00:00,-7.173
2022-02-18T04:15:00,-7.173
2022-02-18T04:30:00,-191.471
2022-02-18T04:45:00,-191.471
2022-02-18T05:00:00,-240.016
2022-02-18T05:15:00,-240.016
2022-02-18T05:30:00,-320.666
2022-02-18T05:45:00,-320.666
2022-02-18T06:00:00,-143.35
2022-02-18T06:15:00,-143.35
2022-02-18T06:30:00,-164.69
2022-02-18T06:45:00,-164.69
2022-02-18T07:00:00,-726.925
2022-02-18T07:15:00,-726.925
2022-02-18T07:30:00,-763.99
2022-02-18T07:45:00,-763.99
2022-02-18T08:00:00,-517.602
2022-02-18T08:15:00,-517.602
2022-02-18T08:30:00,-220.551
2022-02-18T08:45:00,-220.551
2022-02-18T09:00:00,-201.093
2022-02-18T09:15:00,-201.093
2022-02-18T09:30:00,-171.539
2022-02-18T09:45:00,-171.539
2022-02-18T10:00:00,-175.416
2022-02-18T10:15:00,-175.416
2022-02-18T10:30:00,95.294
2022-02-18T10:45:00,95.294
2022-02-18T11:00:00,261.169
2022-02-18T11:15:00,261.169
2022-02-18T11:30:00,72.968
2022-02-18T11:45:00,72.968
2022-02-18T12:00:00,268.877
2022-02-18T12:15:00,268.877
2022-02-18T12:30:00,520.025
2022-02-18T12:45:00,520.025
2022-02-18T13:00:00,-45.417
2022-02-18T13:15:00,-45.417
2022-02-18T13:30:00,328.959
2022-02-18T13:45:00,328.959
2022-02-18T14:00:00,690.267
2022-02-18T14:15:00,690.267
2022-02-18T14:30:00,817.412
2022-02-18T14:45:00,817.412
2022-02-18T15:00:00,778.274
2022-02-18T15:15:00,778.274
2022-02-18T15:30:00,731.514
2022-02-18T15:45:00,731.514
2022-02-18T16:00:00,775.675
2022-02-18T16:15:00,775.675
2022-02-18T16:30:00,504.154
2022-02-18T16:45:00,504.154
2022-02-18T17:00:00,52.394
2022-02-18T17:15:00,52.394
2022-02-18T17:30:00,360.009
2022-02-18T17:45:00,360.009
2022-02-18T18:00:00,686.027
2022-02-18T18:15:00,686.027
2022-02-18T18:30:00,490.721
2022-02-18T18:45:00,490.721
2022-02-18T19:00:00,672.89
2022-02-18T19:15:00,672.89
2022-02-18T19:30:00,275.752
2022-02-18T19:45:00,275.752
2022-02-18T20:00:00,295.81
2022-02-18T20:15:00,295.81
2022-02-18T20:30:00,324.722
2022-02-18T20:45:00,324.722
2022-02-18T21:00:00,209.269
2022-02-18T21:15:00,209.269
2022-02-18T21:30:00,231.294
2022-02-18T21:45:00,231.294
2022-02-18T22:00:00,744.907
2022-02-18T22:15:00,744.907
2022-02-18T22:30:00,266.519
2022-02-18T22:45:00,266.519
2022-02-18T23:00:00,142.638
2022-02-18T23:15:00,142.638
2022-02-18T23:30:00,65.185
2022-02-18T23:45:00,65.185
2022-02-19T00:00:00,-155.675
2022-02-19T00:15:00,-155.675
2022-02-19T00:30:00,-96.117
2022-02-19T00:45:00,-96.117
2022-02-19T01:00:00,143.55
2022-02-19T01:15:00,143.55
2022-02-19T01:30:00,-143.98
2022-02-19T01:45:00,-143.98
2022-02-19T02:00:00,-206.109
2022-02-19T02:15:00,-206.109
2022-02-19T02:30:00,-239.405
2022-02-19T02:45:00,-239.405
2022-02-19T03:00:00,-170.029
2022-02-19T03:15:00,-170.029
2022-02-19T03:30:00,-173.414
2022-02-19T03:45:00,-173.414
2022-02-19T04:00:00,59.933
2022-02-19T04:15:00,59.933
2022-02-19T04:30:00,24.036
2022-02-19T04:45:00,24.036
2022-02-19T05:00:00,38.181
2022-02-19T05:15:00,38.181
2022-02-19T05:30:00,381.575
2022-02-19T05:45:00,381.575
2022-02-19T06:00:00,129.206
2022-02-19T06:15:00,129.206
2022-02-19T06:30:00,-56.749
2022-02-19T06:45:00,-56.749
2022-02-19T07:00:00,-182.163
2022-02-19T07:15:00,-182.163
2022-02-19T07:30:00,-169.422
2022-02-19T07:45:00,-169.422
2022-02-19T08:00:00,-36.984
2022-02-19T08:15:00,-36.984
2022-02-19T08:30:00,165.681
2022-02-19T08:45:00,165.681
2022-02-19T09:00:00,135.901
2022-02-19T09:15:00,135.901
2022-02-19T09:30:00,537.546
2022-02-19T09:45:00,537.546
2022-02-19T10:00:00,772.446
2022-02-19T10:15:00,772.446
2022-02-19T10:30:00,794.716
2022-02-19T10:45:00,794.716
2022-02-19T11:00:00,820.579
2022-02-19T11:15:00,820.579
