time,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,ec00,ec06,ec12,ec18,spot_fr,spot_uk,spot_be,spot_nl,imb_uk,uk_nl_spot_delta,uk_fr_spot_delta,uk_be_spot_delta,uk_spot_delta,ec00_delta,ec00_lag,ec00_06_delta,ec06_12_delta,ec12_18_delta,shifted_dir,imb_vol,cons,vol_dir,spread
2021-03-24 00:00:00+00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5987.2,5912.87,5543.58,5756.08,56.54,56.29,50.5,44.8,21.26,11.49,-0.25,5.79,,3122.41,-404.19,74.33,369.29,-212.5,,-13.45,26394.5,0,-35.03
2021-03-24 01:00:00+00:00,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5830.89,5833.22,5424.65,5567.01,56.75,53.61,51.14,44.4,54.11,9.21,-3.14,2.47,,2845.38,-156.31,-2.33,408.57,-142.36,,-101.124,25969.5,0,0.5
2021-03-24 02:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5814.03,5859.11,5471.67,5520.74,54.75,51.64,50.32,45.0,64.9,6.64,-3.11,1.32,,2619.67,-16.86,-45.08,387.44,-49.07,,49.37649999999999,25736.5,1,13.260000000000005
2021-03-24 03:00:00+00:00,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5912.8,5737.72,5603.67,5495.77,53.33,51.56,50.55,47.21,64.9,4.35,-1.77,1.01,,2550.71,98.77,175.08,134.05,107.9,,216.7585,24982.0,1,13.340000000000003
2021-03-24 04:00:00+00:00,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5860.74,5631.93,5646.43,5436.37,56.19,53.72,49.63,44.64,69.5,9.08,-2.47,4.09,,2370.99,-52.06,228.81,-14.5,210.06,,189.7335,24204.0,1,15.780000000000001
2021-03-24 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5709.09,5595.32,5610.29,5365.31,64.97,62.57,64.97,64.97,67.62,-2.4,-2.4,-2.4,,2014.31,-151.65,113.77,-14.97,244.98,,514.2505,24100.0,1,5.050000000000004
2021-03-24 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5687.19,5713.69,5707.06,5464.69,74.21,67.22,68.95,63.82,62.25,3.4,-6.99,-1.73,,1592.82,-21.9,-26.5,6.63,242.37,,159.99650000000003,25452.0,1,-4.969999999999999
2021-03-24 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5783.01,5938.49,5841.01,5645.79,75.76,74.89,70.88,66.15,59.0,8.74,-0.87,4.01,,804.96,95.82,-155.48,97.48,195.22,,244.63,29712.0,1,-15.89
2021-03-24 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6177.09,6174.7,6156.68,5971.1,67.39,81.04,50.06,45.86,26.0,35.18,13.65,30.98,,-30.1,394.08,2.39,18.02,185.58,,-27.585500000000003,34789.0,0,-55.040000000000006
2021-03-24 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6895.59,6786.8,6866.73,6781.2,62.36,76.14,51.02,40.0,11.0,36.14,13.78,25.12,,-370.01,718.5,108.79,-79.93,85.53,,-457.91700000000003,37227.0,0,-65.14
2021-03-24 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7333.48,7377.87,7648.4,7796.19,60.45,63.77,50.44,40.98,11.1,22.79,3.32,13.33,,-745.86,437.89,-44.39,-270.53,-147.79,,-560.9465,38508.5,0,-52.67
2021-03-24 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7533.79,7924.22,8303.01,8276.72,54.1,57.97,43.85,41.0,7.05,16.97,3.87,14.12,,-1159.09,200.31,-390.43,-378.79,26.29,,-176.4075,38119.5,0,-50.92
2021-03-24 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7855.04,8358.01,8181.12,8620.29,52.07,57.84,44.5,42.6,3.5,15.24,5.77,13.34,,-816.46,321.25,-502.97,176.89,-439.17,,-418.5625,37656.0,0,-54.34
2021-03-24 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7985.83,8244.14,8217.16,8557.59,46.9,51.46,45.8,44.9,31.25,6.56,4.56,5.66,,-875.28,130.79,-258.31,26.98,-340.43,,-629.3235,37817.0,0,-20.21
2021-03-24 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8158.22,8306.15,8156.11,8978.67,49.26,50.52,48.87,48.82,62.5,1.7,1.26,1.65,,-688.85,172.39,-147.93,150.04,-822.56,,68.46600000000001,37174.0,1,11.979999999999997
2021-03-24 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7781.07,8012.86,8035.7,8545.48,52.69,53.09,52.19,52.01,27.5,1.08,0.4,0.9,,-936.26,-377.15,-231.79,-22.84,-509.78,,11.9055,35798.5,1,-25.590000000000003
2021-03-24 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7081.31,7238.48,7197.8,7582.82,61.32,61.94,61.05,61.05,49.13,0.89,0.62,0.89,,-1179.19,-699.76,-157.17,40.68,-385.02,,-139.2505,35463.5,0,-12.809999999999995
2021-03-24 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6298.96,6259.38,6449.7,6621.13,70.91,74.12,70.91,70.91,49.2,3.21,3.21,3.21,,-1701.56,-782.35,39.58,-190.32,-171.43,,-105.94050000000001,36936.0,0,-24.92
2021-03-24 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6053.07,5665.58,5781.19,5890.91,84.0,92.67,84.0,84.0,76.25,8.67,8.67,8.67,,-1638.19,-245.89,387.49,-115.61,-109.72,,-120.60399999999998,38196.0,0,-16.42
2021-03-24 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5870.26,5374.29,5427.31,5414.0,73.58,85.75,73.58,73.58,49.77,12.17,12.17,12.17,,-1254.21,-182.81,495.97,-53.02,13.31,,228.34499999999997,39253.0,1,-35.98
2021-03-24 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5467.49,5328.16,5106.6,4994.95,66.75,67.35,66.75,66.75,22.75,0.6,0.6,0.6,,-1239.03,-402.77,139.33,221.56,111.65,,100.93999999999998,38673.0,1,-44.599999999999994
2021-03-24 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5124.88,5383.23,4786.48,4899.16,62.5,61.3,62.5,62.5,17.0,-1.2,-1.2,-1.2,,-1607.18,-342.61,-258.35,596.75,-112.68,,-128.56650000000002,35719.0,0,-44.3
2021-03-24 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,5052.15,5342.82,4531.1,4763.32,59.1,56.83,59.1,59.1,38.48,-2.27,-2.27,-2.27,,-1629.19,-72.73,-290.67,811.72,-232.22,,-220.483,32647.5,0,-18.35
2021-03-24 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4992.32,5169.38,4313.49,4578.43,54.52,54.56,54.5,53.77,66.45,0.79,0.04,0.06,,-1399.07,-59.83,-177.06,855.89,-264.94,,-180.71250000000003,29194.0,0,11.89
2021-03-25 00:00:00+00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4410.48,4190.45,4389.49,4544.89,50.31,63.33,50.31,50.31,54.51,13.02,13.02,13.02,7.04,-1576.72,-581.84,220.03,-199.04,-155.4,-1.0,333.6655,26563.5,1,-8.82
2021-03-25 01:00:00+00:00,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4112.94,4023.37,4084.09,4181.24,49.68,73.91,49.68,49.68,68.5,24.23,24.23,24.23,20.3,-1717.95,-297.54,89.57,-60.72,-97.15,1.0,116.11099999999999,25893.0,1,-5.409999999999997
2021-03-25 02:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4086.47,3869.98,3909.4,3815.02,48.87,69.81,48.87,48.87,68.5,20.94,20.94,20.94,18.17,-1727.56,-26.47,216.49,-39.42,94.38,1.0,376.897,25504.5,1,-1.3100000000000023
2021-03-25 03:00:00+00:00,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4226.47,4007.85,4046.66,3926.7,50.2,69.76,50.2,50.2,66.23,19.56,19.56,19.56,18.2,-1686.33,140.0,218.62,-38.81,119.96,1.0,347.01050000000004,24643.5,1,-3.530000000000001
2021-03-25 04:00:00+00:00,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4537.78,4402.49,4333.79,4165.51,58.87,69.69,58.87,58.87,73.35,10.82,10.82,10.82,15.97,-1322.96,311.31,135.29,68.7,168.28,1.0,93.591,24095.0,1,3.6599999999999966
2021-03-25 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4971.85,4843.79,4552.82,4349.7,68.8,69.75,68.8,68.8,74.75,0.95,0.95,0.95,7.18,-737.24,434.07,128.06,290.97,203.12,1.0,355.98949999999996,23823.0,1,5.0
2021-03-25 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5595.38,5471.75,4970.05,4804.44,74.97,81.64,74.97,74.97,82.48,6.67,6.67,6.67,14.42,-91.81,623.53,123.63,501.7,165.61,-1.0,448.024,25078.0,1,0.8400000000000034
2021-03-25 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6558.96,6458.96,5865.9,5669.97,74.93,76.79,74.93,74.93,72.5,1.86,1.86,1.86,1.9,775.95,963.58,100.0,593.06,195.93,-1.0,987.0664999999999,29219.5,1,-4.290000000000006
