Data from Wattsight.com
Updated:,2022-03-27T12:34:43.125
Descriptive name:,Generated from WAPI Query
Update frequency:,none
Data Frequency:,H,Timezone:,CET
Comment:
Date,pro uk spv mwh/h cet min15 a
2021-03-24T00:00:00,0
2021-03-24T01:00:00,0
2021-03-24T02:00:00,0
2021-03-24T03:00:00,0
2021-03-24T04:00:00,0
2021-03-24T05:00:00,0
2021-03-24T06:00:00,0
2021-03-24T07:00:00,222.5
2021-03-24T08:00:00,1027.5
2021-03-24T09:00:00,2235
2021-03-24T10:00:00,3600
2021-03-24T11:00:00,4340
2021-03-24T12:00:00,4580
2021-03-24T13:00:00,5010
2021-03-24T14:00:00,5550
2021-03-24T15:00:00,5030
2021-03-24T16:00:00,3765
2021-03-24T17:00:00,2255
2021-03-24T18:00:00,635
2021-03-24T19:00:00,15.5
2021-03-24T20:00:00,0
2021-03-24T21:00:00,0
2021-03-24T22:00:00,0
2021-03-24T23:00:00,0
2021-03-25T00:00:00,0
2021-03-25T01:00:00,0
2021-03-25T02:00:00,0
2021-03-25T03:00:00,0
2021-03-25T04:00:00,0
2021-03-25T05:00:00,0
2021-03-25T06:00:00,1
2021-03-25T07:00:00,378.5
2021-03-25T08:00:00,1475
2021-03-25T09:00:00,2805
2021-03-25T10:00:00,3655
2021-03-25T11:00:00,4495
2021-03-25T12:00:00,4710
2021-03-25T13:00:00,4520
2021-03-25T14:00:00,4510
2021-03-25T15:00:00,4495
2021-03-25T16:00:00,2925
2021-03-25T17:00:00,2130
2021-03-25T18:00:00,633.5
2021-03-25T19:00:00,14
2021-03-25T20:00:00,0
2021-03-25T21:00:00,0
2021-03-25T22:00:00,0
2021-03-25T23:00:00,0
2021-03-26T00:00:00,0
2021-03-26T01:00:00,0
2021-03-26T02:00:00,0
2021-03-26T03:00:00,0
2021-03-26T04:00:00,0
2021-03-26T05:00:00,0
2021-03-26T06:00:00,0.5
2021-03-26T07:00:00,187.5
2021-03-26T08:00:00,1240
2021-03-26T09:00:00,1810
2021-03-26T10:00:00,2435
2021-03-26T11:00:00,3220
2021-03-26T12:00:00,3430
2021-03-26T13:00:00,4335
2021-03-26T14:00:00,4325
2021-03-26T15:00:00,3855
2021-03-26T16:00:00,2955
2021-03-26T17:00:00,1990
2021-03-26T18:00:00,762
2021-03-26T19:00:00,28.5
2021-03-26T20:00:00,0
2021-03-26T21:00:00,0
2021-03-26T22:00:00,0
2021-03-26T23:00:00,0
2021-03-27T00:00:00,0
2021-03-27T01:00:00,0
2021-03-27T02:00:00,0
2021-03-27T03:00:00,0
2021-03-27T04:00:00,0
2021-03-27T05:00:00,0
2021-03-27T06:00:00,2.5
2021-03-27T07:00:00,571.5
2021-03-27T08:00:00,2380
2021-03-27T09:00:00,4250
2021-03-27T10:00:00,5815
2021-03-27T11:00:00,6080
2021-03-27T12:00:00,5960
2021-03-27T13:00:00,4985
2021-03-27T14:00:00,3960
2021-03-27T15:00:00,3205
2021-03-27T16:00:00,2410
2021-03-27T17:00:00,1087
2021-03-27T18:00:00,300
2021-03-27T19:00:00,9.5
2021-03-27T20:00:00,0
2021-03-27T21:00:00,0
2021-03-27T22:00:00,0
2021-03-27T23:00:00,0
2021-03-28T00:00:00,0
2021-03-28T01:00:00,0
2021-03-28T03:00:00,1
2021-03-28T04:00:00,0
2021-03-28T05:00:00,0
2021-03-28T06:00:00,0
2021-03-28T07:00:00,0
2021-03-28T08:00:00,121
2021-03-28T09:00:00,591.5
2021-03-28T10:00:00,1290
2021-03-28T11:00:00,1980
2021-03-28T12:00:00,2370
2021-03-28T13:00:00,3020
2021-03-28T14:00:00,2630
2021-03-28T15:00:00,2515
2021-03-28T16:00:00,1935
2021-03-28T17:00:00,1215
2021-03-28T18:00:00,664.5
2021-03-28T19:00:00,191
2021-03-28T20:00:00,4
2021-03-28T21:00:00,0
2021-03-28T22:00:00,0
2021-03-28T23:00:00,0
2021-03-29T00:00:00,0
2021-03-29T01:00:00,0
2021-03-29T02:00:00,0
2021-03-29T03:00:00,0
2021-03-29T04:00:00,0
2021-03-29T05:00:00,0
2021-03-29T06:00:00,0
2021-03-29T07:00:00,1.5
2021-03-29T08:00:00,318
2021-03-29T09:00:00,1128
2021-03-29T10:00:00,2180
2021-03-29T11:00:00,3890
2021-03-29T12:00:00,4900
2021-03-29T13:00:00,5960
2021-03-29T14:00:00,6825
2021-03-29T15:00:00,6805
2021-03-29T16:00:00,6095
2021-03-29T17:00:00,4710
2021-03-29T18:00:00,2940
2021-03-29T19:00:00,1130.5
2021-03-29T20:00:00,55
2021-03-29T21:00:00,0
2021-03-29T22:00:00,0
2021-03-29T23:00:00,0
2021-03-30T00:00:00,0
2021-03-30T01:00:00,0
2021-03-30T02:00:00,0
2021-03-30T03:00:00,0
2021-03-30T04:00:00,0
2021-03-30T05:00:00,0
2021-03-30T06:00:00,0
2021-03-30T07:00:00,14
2021-03-30T08:00:00,808.5
2021-03-30T09:00:00,2550
2021-03-30T10:00:00,4440
2021-03-30T11:00:00,6060
2021-03-30T12:00:00,7200
2021-03-30T13:00:00,8050
2021-03-30T14:00:00,8105
2021-03-30T15:00:00,7520
2021-03-30T16:00:00,6200
2021-03-30T17:00:00,4345
2021-03-30T18:00:00,2450
2021-03-30T19:00:00,733
2021-03-30T20:00:00,30
2021-03-30T21:00:00,0
2021-03-30T22:00:00,0
2021-03-30T23:00:00,0
2021-03-31T00:00:00,0
2021-03-31T01:00:00,0
2021-03-31T02:00:00,0
2021-03-31T03:00:00,0
2021-03-31T04:00:00,0
2021-03-31T05:00:00,0
2021-03-31T06:00:00,0
2021-03-31T07:00:00,7
2021-03-31T08:00:00,461
2021-03-31T09:00:00,1785
2021-03-31T10:00:00,3280
2021-03-31T11:00:00,4720
2021-03-31T12:00:00,5560
2021-03-31T13:00:00,5660
2021-03-31T14:00:00,5520
2021-03-31T15:00:00,4915
2021-03-31T16:00:00,3875
2021-03-31T17:00:00,2790
2021-03-31T18:00:00,1695
2021-03-31T19:00:00,674
2021-03-31T20:00:00,41.5
2021-03-31T21:00:00,0
2021-03-31T22:00:00,0
2021-03-31T23:00:00,0
2021-04-01T00:00:00,0
2021-04-01T01:00:00,0
2021-04-01T02:00:00,0
2021-04-01T03:00:00,0
2021-04-01T04:00:00,0
2021-04-01T05:00:00,0
2021-04-01T06:00:00,0
2021-04-01T07:00:00,1
2021-04-01T08:00:00,231.5
2021-04-01T09:00:00,1028.5
2021-04-01T10:00:00,2125
2021-04-01T11:00:00,3270
2021-04-01T12:00:00,4055
2021-04-01T13:00:00,4815
2021-04-01T14:00:00,4840
2021-04-01T15:00:00,4360
2021-04-01T16:00:00,3725
2021-04-01T17:00:00,3070
2021-04-01T18:00:00,1780
2021-04-01T19:00:00,622.5
2021-04-01T20:00:00,39.5
2021-04-01T21:00:00,0
2021-04-01T22:00:00,0
2021-04-01T23:00:00,0
2021-04-02T00:00:00,0
2021-04-02T01:00:00,0
2021-04-02T02:00:00,0
2021-04-02T03:00:00,0
2021-04-02T04:00:00,0
2021-04-02T05:00:00,0
2021-04-02T06:00:00,0
2021-04-02T07:00:00,2.5
2021-04-02T08:00:00,326
2021-04-02T09:00:00,1214.5
2021-04-02T10:00:00,2505
2021-04-02T11:00:00,4165
2021-04-02T12:00:00,5375
2021-04-02T13:00:00,6310
2021-04-02T14:00:00,6800
2021-04-02T15:00:00,6450
2021-04-02T16:00:00,5405
2021-04-02T17:00:00,4060
2021-04-02T18:00:00,2315
2021-04-02T19:00:00,918
2021-04-02T20:00:00,76.5
2021-04-02T21:00:00,0
2021-04-02T22:00:00,0
2021-04-02T23:00:00,0
2021-04-03T00:00:00,0
2021-04-03T01:00:00,0
2021-04-03T02:00:00,0
2021-04-03T03:00:00,0
2021-04-03T04:00:00,0
2021-04-03T05:00:00,0
2021-04-03T06:00:00,0
2021-04-03T07:00:00,1.5
2021-04-03T08:00:00,233
2021-04-03T09:00:00,908
2021-04-03T10:00:00,1740
2021-04-03T11:00:00,2740
2021-04-03T12:00:00,3795
2021-04-03T13:00:00,4895
2021-04-03T14:00:00,5575
2021-04-03T15:00:00,5530
2021-04-03T16:00:00,5075
2021-04-03T17:00:00,4180
2021-04-03T18:00:00,2845
2021-04-03T19:00:00,1158
2021-04-03T20:00:00,108.5
2021-04-03T21:00:00,0
2021-04-03T22:00:00,0
2021-04-03T23:00:00,0
2021-04-04T00:00:00,0
