Data from Wattsight.com
Updated:,2022-03-27T01:40:24.974
Descriptive name:,Generated from WAPI Query
Update frequency:,none
Data Frequency:,H,Timezone:,CET
Comment:
Date,pro uk wnd offshore mwh/h cet min15 a
2021-03-24T00:00:00,5359.926
2021-03-24T01:00:00,4751.051
2021-03-24T02:00:00,4468.953
2021-03-24T03:00:00,4260.403
2021-03-24T04:00:00,3876.837
2021-03-24T05:00:00,3730.789
2021-03-24T06:00:00,3647.282
2021-03-24T07:00:00,3328.448
2021-03-24T08:00:00,3411.226
2021-03-24T09:00:00,3416.247
2021-03-24T10:00:00,3221.671
2021-03-24T11:00:00,3372.181
2021-03-24T12:00:00,3429.637
2021-03-24T13:00:00,3636.347
2021-03-24T14:00:00,3791.343
2021-03-24T15:00:00,3406.014
2021-03-24T16:00:00,3254.845
2021-03-24T17:00:00,3327.319
2021-03-24T18:00:00,3542.511
2021-03-24T19:00:00,3687.086
2021-03-24T20:00:00,3515.567
2021-03-24T21:00:00,3565.091
2021-03-24T22:00:00,3759.436
2021-03-24T23:00:00,4094.161
2021-03-25T00:00:00,3917.365
2021-03-25T01:00:00,3985.714
2021-03-25T02:00:00,3743.562
2021-03-25T03:00:00,2868.305
2021-03-25T04:00:00,2507.416
2021-03-25T05:00:00,2516.724
2021-03-25T06:00:00,2653.333
2021-03-25T07:00:00,2676.203
2021-03-25T08:00:00,2630.725
2021-03-25T09:00:00,2612.773
2021-03-25T10:00:00,3212.91
2021-03-25T11:00:00,3439.578
2021-03-25T12:00:00,3870.512
2021-03-25T13:00:00,4492.327
2021-03-25T14:00:00,4780.776
2021-03-25T15:00:00,5322.584
2021-03-25T16:00:00,5475.011
2021-03-25T17:00:00,5487.608
2021-03-25T18:00:00,6014.479
2021-03-25T19:00:00,6245.566
2021-03-25T20:00:00,6473.238
2021-03-25T21:00:00,6523.396
2021-03-25T22:00:00,6366.753
2021-03-25T23:00:00,6531.425
2021-03-26T00:00:00,6765.845
2021-03-26T01:00:00,6951.211
2021-03-26T02:00:00,6699.336
2021-03-26T03:00:00,6426.577
2021-03-26T04:00:00,6319.369
2021-03-26T05:00:00,6486.823
2021-03-26T06:00:00,6580.642
2021-03-26T07:00:00,6768.918
2021-03-26T08:00:00,7016.157
2021-03-26T09:00:00,6586.088
2021-03-26T10:00:00,6611.179
2021-03-26T11:00:00,6719.979
2021-03-26T12:00:00,6711.201
2021-03-26T13:00:00,6681.899
2021-03-26T14:00:00,6627.472
2021-03-26T15:00:00,6296.416
2021-03-26T16:00:00,4958.261
2021-03-26T17:00:00,4563.702
2021-03-26T18:00:00,4775.653
2021-03-26T19:00:00,4935.219
2021-03-26T20:00:00,5210.542
2021-03-26T21:00:00,5904.033
2021-03-26T22:00:00,5900.887
2021-03-26T23:00:00,6215.894
2021-03-27T00:00:00,6317.933
2021-03-27T01:00:00,6246.399
2021-03-27T02:00:00,6393.208
2021-03-27T03:00:00,6333.82
2021-03-27T04:00:00,6355.474
2021-03-27T05:00:00,6393.477
2021-03-27T06:00:00,6422.01
2021-03-27T07:00:00,6527.012
2021-03-27T08:00:00,6712.895
2021-03-27T09:00:00,6725.938
2021-03-27T10:00:00,6525.82
2021-03-27T11:00:00,6277.564
2021-03-27T12:00:00,5659.833
2021-03-27T13:00:00,5400.206
2021-03-27T14:00:00,4466.561
2021-03-27T15:00:00,4022.723
2021-03-27T16:00:00,4353.044
2021-03-27T17:00:00,4200.772
2021-03-27T18:00:00,4307.044
2021-03-27T19:00:00,4643.932
2021-03-27T20:00:00,5227.048
2021-03-27T21:00:00,6102.426
2021-03-27T22:00:00,6546.318
2021-03-27T23:00:00,6601.265
2021-03-28T00:00:00,6873.219
2021-03-28T01:00:00,6894.727
2021-03-28T03:00:00,6814
2021-03-28T04:00:00,6903.006
2021-03-28T05:00:00,6656.473
2021-03-28T06:00:00,6802.366
2021-03-28T07:00:00,6860.553
2021-03-28T08:00:00,6840.62
2021-03-28T09:00:00,6829.575
2021-03-28T10:00:00,6735.405
2021-03-28T11:00:00,6628.701
2021-03-28T12:00:00,6717.572
2021-03-28T13:00:00,6727.453
2021-03-28T14:00:00,6834.594
2021-03-28T15:00:00,6877.105
2021-03-28T16:00:00,6881.185
2021-03-28T17:00:00,6875.167
2021-03-28T18:00:00,6821.967
2021-03-28T19:00:00,6988.926
2021-03-28T20:00:00,7182.387
2021-03-28T21:00:00,7167.844
2021-03-28T22:00:00,7095.934
2021-03-28T23:00:00,7123.033
2021-03-29T00:00:00,6945.95
2021-03-29T01:00:00,6878.087
2021-03-29T02:00:00,6853.233
2021-03-29T03:00:00,6858.28
2021-03-29T04:00:00,6793.284
2021-03-29T05:00:00,6881.946
2021-03-29T06:00:00,6849.7
2021-03-29T07:00:00,6788.962
2021-03-29T08:00:00,6527.217
2021-03-29T09:00:00,6454.228
2021-03-29T10:00:00,6357.823
2021-03-29T11:00:00,6350.583
2021-03-29T12:00:00,6182.065
2021-03-29T13:00:00,6201.227
2021-03-29T14:00:00,5817.87
2021-03-29T15:00:00,5873.493
2021-03-29T16:00:00,5827.373
2021-03-29T17:00:00,5798.316
2021-03-29T18:00:00,5807.387
2021-03-29T19:00:00,5473.917
2021-03-29T20:00:00,5629.019
2021-03-29T21:00:00,5590.184
2021-03-29T22:00:00,5674.354
2021-03-29T23:00:00,5442.661
2021-03-30T00:00:00,5139.167
2021-03-30T01:00:00,4862.163
2021-03-30T02:00:00,4739.851
2021-03-30T03:00:00,4564.228
2021-03-30T04:00:00,4285.271
2021-03-30T05:00:00,3800.014
2021-03-30T06:00:00,3399.46
2021-03-30T07:00:00,2938.897
2021-03-30T08:00:00,2355.852
2021-03-30T09:00:00,2024.543
2021-03-30T10:00:00,1789.706
2021-03-30T11:00:00,1525.326
2021-03-30T12:00:00,1603.345
2021-03-30T13:00:00,1594.686
2021-03-30T14:00:00,1611.085
2021-03-30T15:00:00,1594.724
2021-03-30T16:00:00,1690.441
2021-03-30T17:00:00,1506.735
2021-03-30T18:00:00,1363.67
2021-03-30T19:00:00,1300.15
2021-03-30T20:00:00,1089.998
2021-03-30T21:00:00,1064.632
2021-03-30T22:00:00,1209.209
2021-03-30T23:00:00,1464.332
2021-03-31T00:00:00,1644.704
2021-03-31T01:00:00,1610.416
2021-03-31T02:00:00,1481.741
2021-03-31T03:00:00,1502.187
2021-03-31T04:00:00,1372.629
2021-03-31T05:00:00,1374.347
2021-03-31T06:00:00,1459.812
2021-03-31T07:00:00,1491.463
2021-03-31T08:00:00,1511.064
2021-03-31T09:00:00,1435.633
2021-03-31T10:00:00,1294.705
2021-03-31T11:00:00,1321.106
2021-03-31T12:00:00,1180.448
2021-03-31T13:00:00,1205.239
2021-03-31T14:00:00,1142.14
2021-03-31T15:00:00,1010.168
2021-03-31T16:00:00,931.424
2021-03-31T17:00:00,847.43
2021-03-31T18:00:00,794.091
2021-03-31T19:00:00,886.084
2021-03-31T20:00:00,1143.652
2021-03-31T21:00:00,1208.159
2021-03-31T22:00:00,1330.707
2021-03-31T23:00:00,1674.681
2021-04-01T00:00:00,1981.391
2021-04-01T01:00:00,2377.72
2021-04-01T02:00:00,3819.262
2021-04-01T03:00:00,3807.65
2021-04-01T04:00:00,3878.255
2021-04-01T05:00:00,4714.414
2021-04-01T06:00:00,4945.02
2021-04-01T07:00:00,4698.119
2021-04-01T08:00:00,4790.037
2021-04-01T09:00:00,5051.519
2021-04-01T10:00:00,4776.088
2021-04-01T11:00:00,4589.406
2021-04-01T12:00:00,4446.189
2021-04-01T13:00:00,4335.727
2021-04-01T14:00:00,4904.751
2021-04-01T15:00:00,4016.299
2021-04-01T16:00:00,3772.205
2021-04-01T17:00:00,4584.831
2021-04-01T18:00:00,3673.758
2021-04-01T19:00:00,4026.971
2021-04-01T20:00:00,4456.666
2021-04-01T21:00:00,4889.003
2021-04-01T22:00:00,4364.908
2021-04-01T23:00:00,4084.532
2021-04-02T00:00:00,3563.682
2021-04-02T01:00:00,3358.28
2021-04-02T02:00:00,3198.088
2021-04-02T03:00:00,3119.864
2021-04-02T04:00:00,3184.774
2021-04-02T05:00:00,3126.076
2021-04-02T06:00:00,3124.293
2021-04-02T07:00:00,3357.433
2021-04-02T08:00:00,3251.16
2021-04-02T09:00:00,3173.347
2021-04-02T10:00:00,3177.332
2021-04-02T11:00:00,3042.587
2021-04-02T12:00:00,3324.359
2021-04-02T13:00:00,3425.189
