Data from Wattsight.com
Updated:,2022-03-27T12:34:53.483
Descriptive name:,Generated from WAPI Query
Update frequency:,none
Data Frequency:,H,Timezone:,CET
Comment:
Date,pro uk wnd onshore mwh/h cet min15 a
2021-03-24T00:00:00,5576.074
2021-03-24T01:00:00,5831.449
2021-03-24T02:00:00,5779.047
2021-03-24T03:00:00,5244.097
2021-03-24T04:00:00,5309.164
2021-03-24T05:00:00,5007.21
2021-03-24T06:00:00,4883.218
2021-03-24T07:00:00,5318.052
2021-03-24T08:00:00,5811.774
2021-03-24T09:00:00,6612.753
2021-03-24T10:00:00,7308.329
2021-03-24T11:00:00,7918.319
2021-03-24T12:00:00,8231.863
2021-03-24T13:00:00,8339.653
2021-03-24T14:00:00,7842.157
2021-03-24T15:00:00,8268.486
2021-03-24T16:00:00,8559.655
2021-03-24T17:00:00,8473.182
2021-03-24T18:00:00,7562.989
2021-03-24T19:00:00,6550.915
2021-03-24T20:00:00,6655.433
2021-03-24T21:00:00,6804.408
2021-03-24T22:00:00,6633.564
2021-03-24T23:00:00,5975.339
2021-03-25T00:00:00,5664.135
2021-03-25T01:00:00,4483.786
2021-03-25T02:00:00,3563.438
2021-03-25T03:00:00,4015.195
2021-03-25T04:00:00,4197.584
2021-03-25T05:00:00,4459.276
2021-03-25T06:00:00,4482.166
2021-03-25T07:00:00,4669.797
2021-03-25T08:00:00,5831.275
2021-03-25T09:00:00,7173.727
2021-03-25T10:00:00,7340.09
2021-03-25T11:00:00,8532.922
2021-03-25T12:00:00,8781.988
2021-03-25T13:00:00,8260.673
2021-03-25T14:00:00,9090.724
2021-03-25T15:00:00,8808.416
2021-03-25T16:00:00,9022.489
2021-03-25T17:00:00,9719.892
2021-03-25T18:00:00,9388.522
2021-03-25T19:00:00,9005.933
2021-03-25T20:00:00,8748.262
2021-03-25T21:00:00,8781.604
2021-03-25T22:00:00,9240.747
2021-03-25T23:00:00,9172.074
2021-03-26T00:00:00,9307.655
2021-03-26T01:00:00,8753.289
2021-03-26T02:00:00,8883.164
2021-03-26T03:00:00,9041.423
2021-03-26T04:00:00,9315.631
2021-03-26T05:00:00,8832.177
2021-03-26T06:00:00,8898.358
2021-03-26T07:00:00,9039.082
2021-03-26T08:00:00,8096.843
2021-03-26T09:00:00,8665.912
2021-03-26T10:00:00,9059.821
2021-03-26T11:00:00,9375.021
2021-03-26T12:00:00,9930.799
2021-03-26T13:00:00,9951.601
2021-03-26T14:00:00,9313.528
2021-03-26T15:00:00,8245.085
2021-03-26T16:00:00,8842.739
2021-03-26T17:00:00,9083.299
2021-03-26T18:00:00,8698.847
2021-03-26T19:00:00,8129.781
2021-03-26T20:00:00,8455.459
2021-03-26T21:00:00,7595.467
2021-03-26T22:00:00,7844.613
2021-03-26T23:00:00,8085.106
2021-03-27T00:00:00,8176.567
2021-03-27T01:00:00,8096.601
2021-03-27T02:00:00,7659.292
2021-03-27T03:00:00,7744.18
2021-03-27T04:00:00,7527.026
2021-03-27T05:00:00,7812.523
2021-03-27T06:00:00,8093.99
2021-03-27T07:00:00,8020.488
2021-03-27T08:00:00,7590.605
2021-03-27T09:00:00,7759.062
2021-03-27T10:00:00,7541.18
2021-03-27T11:00:00,7144.436
2021-03-27T12:00:00,7230.667
2021-03-27T13:00:00,6860.294
2021-03-27T14:00:00,8339.939
2021-03-27T15:00:00,9507.277
2021-03-27T16:00:00,9354.456
2021-03-27T17:00:00,9593.728
2021-03-27T18:00:00,9850.956
2021-03-27T19:00:00,9883.068
2021-03-27T20:00:00,10225.451
2021-03-27T21:00:00,9151.074
2021-03-27T22:00:00,8753.183
2021-03-27T23:00:00,8948.235
2021-03-28T00:00:00,8945.781
2021-03-28T01:00:00,11357.006
2021-03-28T03:00:00,9321
2021-03-28T04:00:00,9094.494
2021-03-28T05:00:00,9698.527
2021-03-28T06:00:00,9604.134
2021-03-28T07:00:00,9621.447
2021-03-28T08:00:00,9373.88
2021-03-28T09:00:00,9737.924
2021-03-28T10:00:00,9832.595
2021-03-28T11:00:00,10062.299
2021-03-28T12:00:00,10128.428
2021-03-28T13:00:00,10364.547
2021-03-28T14:00:00,10468.906
2021-03-28T15:00:00,10479.395
2021-03-28T16:00:00,10725.315
2021-03-28T17:00:00,11016.333
2021-03-28T18:00:00,10928.533
2021-03-28T19:00:00,10533.574
2021-03-28T20:00:00,10100.112
2021-03-28T21:00:00,9882.156
2021-03-28T22:00:00,9550.066
2021-03-28T23:00:00,8906.967
2021-03-29T00:00:00,9001.05
2021-03-29T01:00:00,9123.912
2021-03-29T02:00:00,9042.267
2021-03-29T03:00:00,8975.72
2021-03-29T04:00:00,8918.216
2021-03-29T05:00:00,8726.054
2021-03-29T06:00:00,8830.3
2021-03-29T07:00:00,8897.038
2021-03-29T08:00:00,9303.283
2021-03-29T09:00:00,9242.271
2021-03-29T10:00:00,9327.177
2021-03-29T11:00:00,9064.417
2021-03-29T12:00:00,9471.435
2021-03-29T13:00:00,9244.773
2021-03-29T14:00:00,9384.129
2021-03-29T15:00:00,9411.007
2021-03-29T16:00:00,9742.627
2021-03-29T17:00:00,9622.184
2021-03-29T18:00:00,8629.613
2021-03-29T19:00:00,8328.083
2021-03-29T20:00:00,7969.981
2021-03-29T21:00:00,8167.816
2021-03-29T22:00:00,7300.146
2021-03-29T23:00:00,6498.839
2021-03-30T00:00:00,6170.833
2021-03-30T01:00:00,6120.337
2021-03-30T02:00:00,6108.649
2021-03-30T03:00:00,5855.772
2021-03-30T04:00:00,5639.229
2021-03-30T05:00:00,6027.486
2021-03-30T06:00:00,5945.04
2021-03-30T07:00:00,5630.603
2021-03-30T08:00:00,5552.148
2021-03-30T09:00:00,5711.957
2021-03-30T10:00:00,5173.794
2021-03-30T11:00:00,5436.674
2021-03-30T12:00:00,5369.655
2021-03-30T13:00:00,5379.815
2021-03-30T14:00:00,5259.915
2021-03-30T15:00:00,4779.276
2021-03-30T16:00:00,3900.059
2021-03-30T17:00:00,3626.265
2021-03-30T18:00:00,3368.83
2021-03-30T19:00:00,2858.849
2021-03-30T20:00:00,2791.002
2021-03-30T21:00:00,2730.868
2021-03-30T22:00:00,2563.791
2021-03-30T23:00:00,2190.168
2021-03-31T00:00:00,1866.296
2021-03-31T01:00:00,1658.084
2021-03-31T02:00:00,1611.759
2021-03-31T03:00:00,1334.313
2021-03-31T04:00:00,1447.371
2021-03-31T05:00:00,1663.153
2021-03-31T06:00:00,1592.188
2021-03-31T07:00:00,1843.037
2021-03-31T08:00:00,1634.936
2021-03-31T09:00:00,1548.867
2021-03-31T10:00:00,1870.795
2021-03-31T11:00:00,1750.894
2021-03-31T12:00:00,2149.552
2021-03-31T13:00:00,2313.261
2021-03-31T14:00:00,2803.86
2021-03-31T15:00:00,3627.332
2021-03-31T16:00:00,4013.076
2021-03-31T17:00:00,4181.07
2021-03-31T18:00:00,4409.909
2021-03-31T19:00:00,4583.416
2021-03-31T20:00:00,4280.348
2021-03-31T21:00:00,4238.841
2021-03-31T22:00:00,4770.793
2021-03-31T23:00:00,5111.819
2021-04-01T00:00:00,4995.609
2021-04-01T01:00:00,5902.78
2021-04-01T02:00:00,4589.238
2021-04-01T03:00:00,4586.85
2021-04-01T04:00:00,4994.745
2021-04-01T05:00:00,4466.586
2021-04-01T06:00:00,4214.98
2021-04-01T07:00:00,4859.381
2021-04-01T08:00:00,4622.963
2021-04-01T09:00:00,4167.481
2021-04-01T10:00:00,4412.412
2021-04-01T11:00:00,4154.094
2021-04-01T12:00:00,4046.811
2021-04-01T13:00:00,3882.273
2021-04-01T14:00:00,2767.749
2021-04-01T15:00:00,3133.701
2021-04-01T16:00:00,3072.795
2021-04-01T17:00:00,2347.669
2021-04-01T18:00:00,3578.242
2021-04-01T19:00:00,3435.029
2021-04-01T20:00:00,3062.334
2021-04-01T21:00:00,2815.997
2021-04-01T22:00:00,2881.592
2021-04-01T23:00:00,2221.468
2021-04-02T00:00:00,2480.818
2021-04-02T01:00:00,2464.22
2021-04-02T02:00:00,2480.412
2021-04-02T03:00:00,2493.136
2021-04-02T04:00:00,2456.226
2021-04-02T05:00:00,2509.924
2021-04-02T06:00:00,2698.707
2021-04-02T07:00:00,2065.567
2021-04-02T08:00:00,2106.34
2021-04-02T09:00:00,2138.153
2021-04-02T10:00:00,2104.668
2021-04-02T11:00:00,2622.413
2021-04-02T12:00:00,2649.141
2021-04-02T13:00:00,2813.311
